brand,model,generation,years,unit_type,issue_description,cost_min_usd,cost_mean_usd,cost_max_usd,issue_probability_pct,issue_price_impact_pct,model_risk_score,generation_avg_cost_usd
alfa romeo,145,930,1994-2001,подвеска,Износ передних рычагов,120,250,450,40,5,0.55,350
alfa romeo,145,930,1994-2001,двигатель,1.4/1.6/1.8 TS масложор/ВКГ,150,300,500,35,7,0.55,350
alfa romeo,145,930,1994-2001,электрика,Сбои датчиков/реле,80,150,300,30,4,0.55,350
alfa romeo,145,930,1994-2001,трансмиссия,МКПП — износ синхронизаторов,200,350,600,25,5,0.55,350
alfa romeo,145,930,1994-2001,охлаждение,Помпа/термостат,120,200,350,30,4,0.55,350
alfa romeo,146,930,1994-2001,подвеска,Износ передних рычагов,120,250,450,40,5,0.55,350
alfa romeo,146,930,1994-2001,двигатель,1.4/1.6/1.8 TS масложор/ВКГ,150,300,500,35,7,0.55,350
alfa romeo,146,930,1994-2001,электрика,Сбои блока комфорта/датчиков,100,200,400,30,4,0.55,350
alfa romeo,146,930,1994-2001,трансмиссия,МКПП — износ синхронизаторов,200,350,600,25,5,0.55,350
alfa romeo,146,930,1994-2001,охлаждение,Течь радиатора/помпы,120,200,350,30,4,0.55,350
alfa romeo,147,937,2000-2004,подвеска,Износ передних рычагов,150,300,500,40,6,0.6,400
alfa romeo,147,937,2000-2004,двигатель,1.6/2.0 TS масложор/фазовращатели,200,400,700,40,8,0.6,400
alfa romeo,147,937,2000-2004,электрика,Сбои блока комфорта/датчиков,120,250,450,30,5,0.6,400
alfa romeo,147,937,2000-2004,трансмиссия,МКПП — износ синхронизаторов,200,350,600,25,5,0.6,400
alfa romeo,147,937,2000-2004,охлаждение,Помпа/термостат,150,250,400,30,4,0.6,400
alfa romeo,147,937 рестайлинг,2004-2010,подвеска,Износ задних амортизаторов,150,250,450,30,4,0.55,375
alfa romeo,147,937 рестайлинг,2004-2010,двигатель,1.6/2.0 TS течи масла/фазовращатели,200,400,700,35,7,0.55,375
alfa romeo,147,937 рестайлинг,2004-2010,электрика,Сбои блока ABS/ESP,150,300,600,25,5,0.55,375
alfa romeo,147,937 рестайлинг,2004-2010,трансмиссия,МКПП — износ сцепления,250,400,700,25,6,0.55,375
alfa romeo,156,932,1997-2003,подвеска,Износ передних рычагов (классическая болячка),150,300,500,45,7,0.65,420
