file,title,brand,model,generation,price_usd,market_price_usd,description,year,gearbox,engine_volume,engine_type,mileage,body,drive,color,power_hp,fuel_consumption
113602598.html,"Opel Grandland X I, 2019 г., 1,5 л., дизель, автомат, купить в Минске - цена 15440 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №113602598",Opel,Grandland X,I,15440.0,17036.0,"Отличное состояние.  На РФ есть документы.Цепь, постель и распредвалы  8 мм. оригинал PSA (не Китай) могу предоставитьфото отчет, заменен  комплект ГРМ  антифриз, заменены все фильтра, заменено масло в акпп, в салоне не курили,  Все стекла родные   Заводская тонировка,  Камера, 2 ключа. Камера, слежение по полосам, читает знаки.   Автоматический дальний свет. Система экологии AdBlue не отшивалась и работает.На  учете в ГАИ на мне. Есть оригинал  ТПО и копии утиля и удостоверения таможни  2023 годаЛетние шины 2023 года  Michelin Primacy 3",2019.0,автомат,1.5,дизель,212000.0,внедорожник 5 дв.,передний привод,другой,130.0,4.2
114259276.html,"Audi A6 C8, 2019 г., 2,0 л., бензин, робот, купить в Минске - цена 30800 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №114259276",Audi,A6,C8,30800.0,35384.0,С НДС 20% в цене! Автомобиль покупался у официального дилера Ауди на Независимости. В отличном техническом и визуальном состоянии.В очень богатой комплектации.,2019.0,робот,2.0,бензин,255000.0,седан,постоянный полный привод,серый,245.0,6.4
114343935.html,"Audi Q3 F3, 2023 г., 2,0 л., бензин, автомат, купить в Минске - цена 37500 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №114343935",Audi,Q3,F3,37500.0,34892.0,Состояние нового авто!Комплект зимней резины на диска!Проходит на рф!,2023.0,автомат,2.0,бензин,17000.0,внедорожник 5 дв.,постоянный полный привод,синий,231.0,10.2
116593791.html,"Hyundai Accent V, 2019 г., 1,6 л., бензин, автомат, купить в Минске - цена 13500 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №116593791",Hyundai,Accent,V,13500.0,13285.0,"Авто в отличном состоянии,  два комплекта колёс, сделана шумоизоляция арок у дилера,  ездит девушка. на стоянку не поставлю машина ездит каждый день",2019.0,автомат,1.6,бензин,111500.0,седан,передний привод,синий,130.0,7.4
116986194.html,"Volvo V60 I, 2011 г., 1,6 л., дизель, механика, купить в Минске - цена 12300 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №116986194",Volvo,V60,I,12300.0,12217.0,Без пробега по РБ из Европы приехала своим ходом . Оригинальный подтверждающийся документами пробег . Без ключевой доступ . Машина в достойном состоянии .Все интересующие вопросы по телефону .,2011.0,механика,1.6,дизель,205000.0,универсал,передний привод,чёрный,115.0,4.5
117443485.html,"Peugeot 308 T9 · Рестайлинг, 2019 г., 1,5 л., дизель, механика, купить в Минске - цена 9450 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №117443485",Peugeot,308,T9 · Рестайлинг,9450.0,11974.0,"Снята на транзитыПригнан из Чехии полтора года назад. Проходная на РФ. Документы в наличииНадёжный, мощный, очень экономичный двигатель 6-МКПП. Расход топлива в смешанном цикле- 4,0 литра.Экология на месте. ЕdBlue отшита. Цепь заменена на 8 мм.На пробеге 179. 000 км. была произведена замена масла и фильтров.Богатая комплектация: хорошая аудиосистема, мультируль, USB/iPod/Bluetooth, навигация, WI-FI роутер, круиз- контроль, 2-х зонный климат- контроль, кондиционер, парктроник перед+зад, регулировка руля по высоте и по вылету, электро-складывающиеся боковые зеркала с интегрированными повторителями поворотов, обогревом и электро- приводом, электро- стёкла передние и задние (все с автоматикой), бортовой компьютер, система «Изофикс» для крепления детских кресел+ отключение фронтальной подушки безопасности пассажира, зеркало заднего вида с авто- затемнением, датчики света и дождя, центральный замок с дистанционным управлением, система предупреждения о падении давления в шинах, система контроля устойчивости с функцией анти-пробуксовки, регулировка по высоте сидений, противотуманные фары, солнцезащитные козырьки с зеркалом для водителя и переднего пассажира, система предупреждения об усталости водителя, LED ходовые огни, передний и задний центральный подлокотник, корректор фар, литые диски R16, защита двигателя.Удобный просторный салон.Вместительный, грамотный багажник (задние сидения легко складываются в ровный пол).",2019.0,механика,1.5,дизель,184680.0,универсал,передний привод,белый,102.0,3.7
118313393.html,"BMW 5 серия G30, G31, 2020 г., 2,0 л., дизель, автомат, купить в Минске - цена 39200 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №118313393",BMW,5 серия,"G30, G31",39200.0,37699.0,Состояние нового автомобиля. Идеальный ухоженный комфорт салон. Подогрев руля и сидений. Комфортный доступ. Климат контроль. Зимняя резина.,2020.0,автомат,2.0,дизель,120000.0,седан,задний привод,синий,190.0,4.8
118695783.html,"Peugeot 308 T9 · Рестайлинг, 2019 г., 1,5 л., дизель, автомат, купить в Минске - цена 11900 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №118695783",Peugeot,308,T9 · Рестайлинг,11900.0,12803.0,"Приобреталась 1.5 года назад (пригнана из Европы с модернизированной цепью (8 мм). За время владения в РБ менялся теплообменник егр, элементы подвески и тормозной системы. Все работает без нареканий. Экология на месте. Проходная на РФ. Классная, резвая, комфортная машинка. Чистый ухоженный салон. Торг только у капота реальным покупателям, минимальный и обоснованный. За машину не стыдно, обслуживалась на хорошем  сто, не в гаражах, все документы есть, всегда вовремя. Если ищете действительно достойный Пежо для себя - приезжайте, смотрите, точно не разочаруетесь. Машина каждый день на ходу, автосалонам не беспокоить. Трейд-ин не интересует.",2019.0,автомат,1.5,дизель,200000.0,универсал,передний привод,чёрный,130.0,3.7
119023152.html,"Mercedes-Benz C-Класс W205, S205, C205, A205 · Рестайлинг, 2020 г., 1,6 л., дизель, автомат, купить в Минске - цена 21400 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №119023152",Mercedes-Benz,C-Класс,"W205, S205, C205, A205 · Рестайлинг",21400.0,24526.0,"Автомобиль обслужен на СТО ""Зубер Авто"" с заменой всех фильтров, в том числе топливного, масла и колодок.• Два комплекта резины с дисками• 9-ступенчатая коробка передач• Webasto (предпусковой подогреватель)• Бак 70 литров• Двойные стекла• Подогревы сидений и зеркал• Круиз-контроль с функцией дистроника• Музыка Burmester• Удержание в полосе• Автопарковка• Камера заднего вида• Фаркоп• Автодальний•CarPlay•AutoHold•Заводская тонировка AS3• Свежая летняя резина• Заводские стекла• Шайба на мультимедиа• Электронный привод багажника• На пробеге 136 тыс. км менялось масло в коробкеВсе расскажу как есть про авто ! Цена актуальна только до тех пор, пока в продаже находится интересующая меня машина.Торг на дорогу!",2020.0,автомат,1.6,дизель,196000.0,универсал,задний привод,белый,160.0,4.2
119140614.html,"Volkswagen Golf III, 1994 г., 1,4 л., бензин, механика, купить в Бресте - цена 1200 $, фото, характеристики. av.by — объявления о продаже автомобилей. | №119140614",Volkswagen,Golf,III,1200.0,1547.0,"Машина технически в отличном состоянии - сел и поехал. Ничего не течет, не капает, масло не ест. Купил в 2024 годуЧто поменял:2025 год:Новое сцеплениеСайлентблоки Замена передней балкиНовый глушительНовый резонаторНовая гофраПодушка моноблокаТопливный фильтрМасляный фильтр Воздушный фильтр 2026 год:Замена передних амортизаторовС и У передних суппортовЗамена дисков и колод переднихПрокачка тормозовПереборка суппортов переднихРазвал схождениеЗамена заднего подшипника ступицыЗамена рычагаЗамена цапфы Заменил масло 5 лАнтифриз 3 лВ машине есть магнитола Pioneer, хорошие колонки. Есть возрастные вопросы по кузову(что логично учитывая возраст). Кроме этих нюансов, вкладывать в машину ничего не надо, только менять расходники и заправлять. В машину вложено, все есть документально. По фотографиям видны все нюансы, ничего не скрываю. Продаю так как есть возможность добавить деньги и купить машину новее.Без торга",1994.0,механика,1.4,бензин,216800.0,хэтчбек 3 дв.,передний привод,другой,60.0,6.7
