brand,model,year,mileage,engine_volume,engine_type,gearbox,drive,body,color,power_hp,fuel_consumption,price_usd,market_price_usd,description,nlp_engine_bad,nlp_engine_fixed,nlp_gearbox_bad,nlp_gearbox_fixed,nlp_body_bad,nlp_body_fixed,nlp_service_good,nlp_service_bad,nlp_storage_risk,nlp_taxi_risk,nlp_condition_score,nlp_repair_risk,defect_cost_mean_usd,defect_issue_probability_pct,defect_price_impact_pct,defect_model_risk_score,defect_generation_avg_cost_usd,defect_expected_cost_usd,defect_total_risk_score,price_gap
opel,grandland x,2019.0,212000.0,1.5,дизель,автомат,передний привод,внедорожник 5 дв.,другой,130.0,4.2,15440.0,17036.0,"отличное состояние.  на рф есть документы.цепь, постель и распредвалы  8 мм. оригинал psa (не китай) могу предоставитьфото отчет, заменен  комплект грм  антифриз, заменены все фильтра, заменено масло в акпп, в салоне не курили,  все стекла родные   заводская тонировка,  камера, 2 ключа. камера, слежение по полосам, читает знаки.   автоматический дальний свет. система экологии adblue не отшивалась и работает.на  учете в гаи на мне. есть оригинал  тпо и копии утиля и удостоверения таможни  2023 годалетние шины 2023 года  michelin primacy 3",0,0,0,0,0,0,0,0,0,0,95,15,467.14285714285717,50.0,4.142857142857143,0.5250000000000001,682.8571428571429,233.57142857142858,0.010875000000000004,1596.0
audi,a6,2019.0,255000.0,2.0,бензин,робот,постоянный полный привод,седан,серый,245.0,6.4,30800.0,35384.0,с ндс 20% в цене! автомобиль покупался у официального дилера ауди на независимости. в отличном техническом и визуальном состоянии.в очень богатой комплектации.,0,0,0,0,0,0,0,0,0,0,95,10,568.75,24.375,5.25,0.525,575.0,138.6328125,0.006718359375,4584.0
audi,q3,2023.0,17000.0,2.0,бензин,автомат,постоянный полный привод,внедорожник 5 дв.,синий,231.0,10.2,37500.0,34892.0,состояние нового авто!комплект зимней резины на диска!проходит на рф!,0,0,0,0,0,0,0,0,0,0,100,0,550.0,23.75,5.25,0.45,475.0,130.625,0.0056109375,-2608.0
hyundai,accent,2019.0,111500.0,1.6,бензин,автомат,передний привод,седан,синий,130.0,7.4,13500.0,13285.0,"авто в отличном состоянии,  два комплекта колёс, сделана шумоизоляция арок у дилера,  ездит девушка. на стоянку не поставлю машина ездит каждый день",0,0,0,0,0,0,0,0,0,0,95,10,116.25,31.75,4.625,0.33,180.0,36.909375,0.00484584375,-215.0
volvo,v60,2011.0,205000.0,1.6,дизель,механика,передний привод,универсал,чёрный,115.0,4.5,12300.0,12217.0,без пробега по рб из европы приехала своим ходом . оригинальный подтверждающийся документами пробег . без ключевой доступ . машина в достойном состоянии .все интересующие вопросы по телефону .,0,0,0,0,0,0,0,0,0,0,75,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.0
peugeot,308,2019.0,184680.0,1.5,дизель,механика,передний привод,универсал,белый,102.0,3.7,9450.0,11974.0,"снята на транзитыпригнан из чехии полтора года назад. проходная на рф. документы в наличиинадёжный, мощный, очень экономичный двигатель 6-мкпп. расход топлива в смешанном цикле- 4,0 литра.экология на месте. еdblue отшита. цепь заменена на 8 мм.на пробеге 179. 000 км. была произведена замена масла и фильтров.богатая комплектация: хорошая аудиосистема, мультируль, usb/ipod/bluetooth, навигация, wi-fi роутер, круиз- контроль, 2-х зонный климат- контроль, кондиционер, парктроник перед+зад, регулировка руля по высоте и по вылету, электро-складывающиеся боковые зеркала с интегрированными повторителями поворотов, обогревом и электро- приводом, электро- стёкла передние и задние (все с автоматикой), бортовой компьютер, система «изофикс» для крепления детских кресел+ отключение фронтальной подушки безопасности пассажира, зеркало заднего вида с авто- затемнением, датчики света и дождя, центральный замок с дистанционным управлением, система предупреждения о падении давления в шинах, система контроля устойчивости с функцией анти-пробуксовки, регулировка по высоте сидений, противотуманные фары, солнцезащитные козырьки с зеркалом для водителя и переднего пассажира, система предупреждения об усталости водителя, led ходовые огни, передний и задний центральный подлокотник, корректор фар, литые диски r16, защита двигателя.удобный просторный салон.вместительный, грамотный багажник (задние сидения легко складываются в ровный пол).",0,0,0,0,0,0,0,0,0,0,92,15,186.5625,27.625,4.625,0.4,320.0,51.537890624999996,0.005110625000000001,2524.0
bmw,5 серия,2020.0,120000.0,2.0,дизель,автомат,задний привод,седан,синий,190.0,4.8,39200.0,37699.0,состояние нового автомобиля. идеальный ухоженный комфорт салон. подогрев руля и сидений. комфортный доступ. климат контроль. зимняя резина.,0,0,0,0,0,0,0,0,0,0,95,5,325.0,25.0,3.75,0.55,600.0,81.25,0.00515625,-1501.0
peugeot,308,2019.0,200000.0,1.5,дизель,автомат,передний привод,универсал,чёрный,130.0,3.7,11900.0,12803.0,"приобреталась 1.5 года назад (пригнана из европы с модернизированной цепью (8 мм). за время владения в рб менялся теплообменник егр, элементы подвески и тормозной системы. все работает без нареканий. экология на месте. проходная на рф. классная, резвая, комфортная машинка. чистый ухоженный салон. торг только у капота реальным покупателям, минимальный и обоснованный. за машину не стыдно, обслуживалась на хорошем  сто, не в гаражах, все документы есть, всегда вовремя. если ищете действительно достойный пежо для себя - приезжайте, смотрите, точно не разочаруетесь. машина каждый день на ходу, автосалонам не беспокоить. трейд-ин не интересует.",0,0,0,0,0,0,0,0,0,0,90,20,186.5625,27.625,4.625,0.4,320.0,51.537890624999996,0.005110625000000001,903.0
mercedes-benz,c-класс,2020.0,196000.0,1.6,дизель,автомат,задний привод,универсал,белый,160.0,4.2,21400.0,24526.0,"автомобиль обслужен на сто ""зубер авто"" с заменой всех фильтров, в том числе топливного, масла и колодок.• два комплекта резины с дисками• 9-ступенчатая коробка передач• webasto (предпусковой подогреватель)• бак 70 литров• двойные стекла• подогревы сидений и зеркал• круиз-контроль с функцией дистроника• музыка burmester• удержание в полосе• автопарковка• камера заднего вида• фаркоп• автодальний•carplay•autohold•заводская тонировка as3• свежая летняя резина• заводские стекла• шайба на мультимедиа• электронный привод багажника• на пробеге 136 тыс. км менялось масло в коробкевсе расскажу как есть про авто ! цена актуальна только до тех пор, пока в продаже находится интересующая меня машина.торг на дорогу!",0,0,0,0,0,0,1,0,0,1,92,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3126.0
volkswagen,golf,1994.0,216800.0,1.4,бензин,механика,передний привод,хэтчбек 3 дв.,другой,60.0,6.7,1200.0,1547.0,"машина технически в отличном состоянии - сел и поехал. ничего не течет, не капает, масло не ест. купил в 2024 годучто поменял:2025 год:новое сцеплениесайлентблоки замена передней балкиновый глушительновый резонаторновая гофраподушка моноблокатопливный фильтрмасляный фильтр воздушный фильтр 2026 год:замена передних амортизаторовс и у передних суппортовзамена дисков и колод переднихпрокачка тормозовпереборка суппортов переднихразвал схождениезамена заднего подшипника ступицызамена рычагазамена цапфы заменил масло 5 лантифриз 3 лв машине есть магнитола pioneer, хорошие колонки. есть возрастные вопросы по кузову(что логично учитывая возраст). кроме этих нюансов, вкладывать в машину ничего не надо, только менять расходники и заправлять. в машину вложено, все есть документально. по фотографиям видны все нюансы, ничего не скрываю. продаю так как есть возможность добавить деньги и купить машину новее.без торга",0,0,0,0,0,0,0,0,0,0,95,20,458.57142857142856,53.0,4.142857142857143,0.5350000000000001,675.0,243.04285714285714,0.011747071428571433,347.0
