brand,model,generation,years,unit_type,issue_description,cost_min_usd,cost_mean_usd,cost_max_usd,issue_probability_pct,issue_price_impact_pct,model_risk_score,generation_avg_cost_usd
Audi,80,B3,1986-1991,подвеска,Износ шаровых и рычагов,80,150,300,45,5,0.45,225
Audi,80,B3,1986-1991,двигатель,Течи масла рядных 4/5,120,250,450,40,6,0.45,225
Audi,80,B3,1986-1991,электрика,Старение проводки и реле,50,120,250,35,4,0.45,225
Audi,80,B3,1986-1991,тормоза,Закисание задних суппортов,80,150,250,30,4,0.45,225
Audi,80,B3,1986-1991,охлаждение,Течь радиатора/помпы,100,180,300,30,4,0.45,225
Audi,80,B4,1991-1994,подвеска,Износ рычагов и сайлентблоков,120,200,350,40,5,0.50,275
Audi,80,B4,1991-1994,двигатель,Течи масла ABK/ABC,150,250,450,35,6,0.50,275
Audi,80,B4,1991-1994,электрика,Сбои датчиков и проводки,80,150,300,30,4,0.50,275
Audi,80,B4,1991-1994,трансмиссия,Износ синхронизаторов 5‑ст МКПП,200,350,600,25,5,0.50,275
Audi,80,B4,1991-1994,охлаждение,Помпа/термостат,120,200,350,30,4,0.50,275
Audi,80,B4 рестайлинг,1994-1996,подвеска,Износ задних амортизаторов,120,200,350,30,4,0.45,250
Audi,80,B4 рестайлинг,1994-1996,электрика,Сбои блока управления ABS,100,180,300,25,4,0.45,250
Audi,80,B4 рестайлинг,1994-1996,двигатель,ABK/ABC масложор,150,300,500,30,6,0.45,250
Audi,90,B3,1987-1991,подвеска,Износ рычагов и сайлентблоков,120,200,350,40,5,0.50,275
Audi,90,B3,1987-1991,двигатель,2.3 NG течи масла/ВКГ,150,300,500,35,6,0.50,275
Audi,90,B3,1987-1991,электрика,Сбои датчиков/реле,80,150,300,30,4,0.50,275
Audi,90,B3,1987-1991,трансмиссия,Износ МКПП (синхронизаторы),200,350,600,25,5,0.50,275
Audi,90,B3,1987-1991,охлаждение,Помпа/термостат,120,200,350,30,4,0.50,275
Audi,90,B4,1991-1995,подвеска,Износ рычагов многорычажки,150,300,600,40,6,0.55,350
Audi,90,B4,1991-1995,двигатель,2.6/2.8 V6 течи масла/ВКГ,200,350,600,35,7,0.55,350
Audi,90,B4,1991-1995,электрика,Сбои блока ABS/датчиков,100,200,400,30,4,0.55,350
Audi,90,B4,1991-1995,трансмиссия,Износ МКПП/АКПП 4HP18,400,700,1200,25,7,0.55,350
Audi,90,B4,1991-1995,охлаждение,Помпа/радиатор,150,250,400,30,4,0.55,350
Audi,90,B4 рестайлинг,1995,подвеска,Износ задних амортизаторов,150,250,450,30,4,0.50,300
Audi,90,B4 рестайлинг,1995,двигатель,2.6/2.8 V6 масложор/течи,200,350,600,30,6,0.50,300
Audi,90,B4 рестайлинг,1995,электрика,Сбои блока управления впрыском,120,250,450,25,5,0.50,300
Audi,100,C3,1982-1988,подвеска,Износ рычагов и шаровых,100,200,350,40,5,0.50,275
Audi,100,C3,1982-1988,двигатель,Течи масла 2.0/2.2/2.3,150,250,450,40,6,0.50,275
Audi,100,C3,1982-1988,электрика,Старение проводки/реле,80,150,300,35,4,0.50,275
Audi,100,C3,1982-1988,трансмиссия,Износ МКПП (синхронизаторы),200,350,600,25,5,0.50,275
Audi,100,C3,1982-1988,охлаждение,Течь радиатора/помпы,120,200,350,30,4,0.50,275
Audi,100,C3 рестайлинг,1988-1991,подвеска,Износ задних амортизаторов,120,200,350,30,4,0.45,250
Audi,100,C3 рестайлинг,1988-1991,электрика,Сбои блока управления впрыском,100,200,350,25,5,0.45,250
Audi,100,C3 рестайлинг,1988-1991,двигатель,2.3 NG масложор/ВКГ,150,300,500,30,6,0.45,250
Audi,100,C4,1991-1994,подвеска,Износ рычагов и сайлентблоков,150,250,450,40,5,0.55,325
Audi,100,C4,1991-1994,двигатель,Течи масла AAR/ABC/AAN,150,300,500,35,6,0.55,325
Audi,100,C4,1991-1994,электрика,Сбои датчиков/реле,80,150,300,30,4,0.55,325
Audi,100,C4,1991-1994,трансмиссия,Износ АКПП ZF 4HP18,400,700,1200,25,7,0.55,325
Audi,100,C4,1991-1994,охлаждение,Помпа/термостат,150,250,400,30,4,0.55,325
Audi,100,C4 рестайлинг,1994,электрика,Сбои блока ABS/ECU,120,250,450,25,5,0.50,300
