brand,model,generation,years,unit_type,issue_description,cost_min_usd,cost_mean_usd,cost_max_usd,issue_probability_pct,issue_price_impact_pct,model_risk_score,generation_avg_cost_usd
Belgee,S50,1,2023-наст,подвеска,Износ передних стоек стабилизатора,60,120,200,35,4,0.40,250
Belgee,S50,1,2023-наст,двигатель,1.5 турбо — течи масла на стыках,120,250,400,25,5,0.40,250
Belgee,S50,1,2023-наст,двигатель,Нестабильная работа клапана турбины,150,300,500,20,6,0.40,250
Belgee,S50,1,2023-наст,электрика,Сбои мультимедиа/датчиков парковки,80,150,300,30,4,0.40,250
Belgee,S50,1,2023-наст,трансмиссия,CVT — рывки/перегрев,300,600,900,20,8,0.40,250
Belgee,S50,1,2023-наст,охлаждение,Течь патрубков охлаждения,80,150,250,25,4,0.40,250
Belgee,X50,1,2022-наст,подвеска,Износ передних рычагов,100,200,350,35,5,0.45,300
Belgee,X50,1,2022-наст,двигатель,1.5 турбо — течи масла/антифриза,150,300,500,30,6,0.45,300
Belgee,X50,1,2022-наст,двигатель,Нестабильная работа wastegate,150,300,450,25,6,0.45,300
Belgee,X50,1,2022-наст,электрика,Сбои блока мультимедиа/камеры,100,200,350,30,4,0.45,300
Belgee,X50,1,2022-наст,трансмиссия,CVT — износ ремня/масла,300,600,900,25,8,0.45,300
Belgee,X50,1,2022-наст,тормоза,Скрип/быстрый износ передних колодок,50,120,200,35,3,0.45,300Belgee,X70,1,2020-наст,подвеска,Износ задних амортизаторов,120,250,400,35,5,0.50,350
Belgee,X70,1,2020-наст,двигатель,1.8 турбо — течи масла/охлаждение,200,400,700,30,7,0.50,350
Belgee,X70,1,2020-наст,двигатель,Износ актуатора турбины,200,350,600,25,7,0.50,350
Belgee,X70,1,2020-наст,электрика,Сбои блока комфорта/датчиков,120,250,450,30,5,0.50,350
Belgee,X70,1,2020-наст,трансмиссия,6AT — толчки/износ гидроблока,400,700,1200,25,8,0.50,350
Belgee,X70,1,2020-наст,охлаждение,Течь радиатора/патрубков,120,200,350,25,4,0.50,350
Geely,Emgrand,1,2016-2021,подвеска,Износ передних стоек стабилизатора,60,120,200,40,4,0.45,260
Geely,Emgrand,1,2016-2021,подвеска,Передние рычаги — быстрый износ сайлентблоков,100,200,350,35,5,0.45,260
Geely,Emgrand,1,2016-2021,двигатель,1.5 — течи масла на стыках,120,250,400,30,6,0.45,260
Geely,Emgrand,1,2016-2021,двигатель,Нестабильная работа дросселя,80,150,300,25,4,0.45,260
Geely,Emgrand,1,2016-2021,электрика,Сбои мультимедиа/датчиков парковки,80,150,300,30,4,0.45,260
Geely,Emgrand,1,2016-2021,трансмиссия,CVT — перегрев/рывки,300,600,900,25,8,0.45,260
Geely,Emgrand,1,2016-2021,охлаждение,Течь патрубков охлаждения,80,150,250,25,4,0.45,260
Geely,Emgrand,1 рестайлинг,2021-наст,подвеска,Износ задних амортизаторов,80,150,250,30,4,0.40,240
Geely,Emgrand,1 рестайлинг,2021-наст,двигатель,1.5 — течи масла/антифриза,120,220,350,25,5,0.40,240
Geely,Emgrand,1 рестайлинг,2021-наст,электрика,Сбои блока ABS/ESP,120,200,350,20,4,0.40,240
Geely,Emgrand,1 рестайлинг,2021-наст,трансмиссия,CVT — износ ремня,300,550,850,20,7,0.40,240
Geely,Emgrand,1 рестайлинг,2021-наст,тормоза,Быстрый износ передних колодок,40,90,150,35,3,0.40,240
Geely,Coolray,1,2019-2023,подвеска,Износ передних стоек стабилизатора,60,120,200,40,4,0.50,300
Geely,Coolray,1,2019-2023,подвеска,Передние рычаги — быстрый износ сайлентблоков,100,200,350,35,5,0.50,300
Geely,Coolray,1,2019-2023,двигатель,1.5T — течи масла на стыках,150,300,500,30,6,0.50,300
Geely,Coolray,1,2019-2023,двигатель,Нестабильная работа wastegate,150,300,450,25,6,0.50,300
Geely,Coolray,1,2019-2023,электрика,Сбои мультимедиа/камеры заднего вида,100,200,350,30,4,0.50,300
Geely,Coolray,1,2019-2023,трансмиссия,7DCT — перегрев/рывки,400,700,1100,25,9,0.50,300
Geely,Coolray,1,2019-2023,тормоза,Быстрый износ передних колодок,50,120,200,35,3,0.50,300
Geely,Coolray,1,2019-2023,охлаждение,Течь патрубков охлаждения,80,150,250,25,4,0.50,300
Geely,Coolray,1 рестайлинг,2023-наст,подвеска,Износ задних амортизаторов,80,150,250,30,4,0.45,280
Geely,Coolray,1 рестайлинг,2023-наст,двигатель,1.5T — течи масла/антифриза,150,280,450,25,5,0.45,280
Geely,Coolray,1 рестайлинг,2023-наст,электрика,Сбои блока ABS/ESP,120,200,350,20,4,0.45,280
Geely,Coolray,1 рестайлинг,2023-наст,трансмиссия,7DCT — износ сцеплений,400,650,1000,20,8,0.45,280
Geely,Coolray,1 рестайлинг,2023-наст,тормоза,Скрип/быстрый износ колодок,50,100,180,30,3,0.45,280
Geely,Coolray,1 рестайлинг,2023-наст,подвеска,Износ задних амортизаторов,80,150,250,30,4,0.45,280
Geely,Coolray,1 рестайлинг,2023-наст,двигатель,1.5T — течи масла/антифриза,150,280,450,25,5,0.45,280
