brand,model,generation,years,unit_type,issue_description,cost_min_usd,cost_mean_usd,cost_max_usd,issue_probability_pct,issue_price_impact_pct,model_risk_score,generation_avg_cost_usd
BMW,1 серия,E81/E87,2004-2011,двигатель,Масложор N43/N46 и цепь ГРМ,400,800,1200,40,8,0.55,650
BMW,1 серия,E81/E87,2004-2011,электрика,FRM-модуль,150,250,350,35,5,0.55,650
BMW,1 серия,E81/E87,2004-2011,охлаждение,Помпа/термостат,150,300,450,30,4,0.55,650
BMW,1 серия,F20/F21,2011-2015,рулевое,Рулевая рейка,500,700,900,35,6,0.50,575
BMW,1 серия,F20/F21,2011-2015,электрика,Сбои датчиков,80,150,250,30,3,0.50,575
BMW,1 серия,F20/F21,2011-2015,охлаждение,Помпа/антифриз B38/B48,250,350,450,30,4,0.50,575
BMW,1 серия,F20/F21 рестайлинг,2015-2019,двигатель,B38/B48 течи антифриза,200,350,500,30,4,0.45,525
BMW,1 серия,F20/F21 рестайлинг,2015-2019,электрика,Сбои блока FEM,150,300,600,25,4,0.45,525
BMW,1 серия,F20/F21 рестайлинг,2015-2019,подвеска,Износ передних рычагов,150,250,450,30,4,0.45,525
BMW,2 серия,F22/F23,2013-2017,двигатель,Помпа/термостат B48,250,350,450,30,4,0.45,400
BMW,2 серия,F22/F23,2013-2017,электрика,Сбои датчиков,80,150,250,25,3,0.45,400
BMW,2 серия,F22/F23 рестайлинг,2017-2021,двигатель,B48 течи антифриза,200,350,500,30,4,0.40,375
BMW,2 серия,F22/F23 рестайлинг,2017-2021,подвеска,Износ задних амортизаторов,150,250,450,30,4,0.40,375
BMW,2 серия,F45/F46,2014-2021,трансмиссия,Двухмассовый маховик,600,900,1200,35,7,0.45,400
BMW,2 серия,F45/F46,2014-2021,электрика,Сбои блока BDC,150,300,600,30,4,0.45,400
BMW,3 серия,E36,1990-2000,подвеска,Износ рычагов и сайлентблоков,120,250,450,45,6,0.55,350
BMW,3 серия,E36,1990-2000,охлаждение,Трещины пластиковых элементов,150,250,400,40,5,0.55,350
BMW,3 серия,E36,1990-2000,электрика,Сбои датчиков,50,120,200,30,3,0.55,350
BMW,3 серия,E46,1998-2003,кузов,Трещины задней балки,300,500,700,40,8,0.60,350
BMW,3 серия,E46,1998-2003,охлаждение,Помпа/бачок/радиатор,150,250,350,35,5,0.60,350
BMW,3 серия,E46,1998-2003,электрика,Сбои датчиков,50,120,200,30,3,0.60,350
BMW,3 серия,E46 рестайлинг,2003-2006,двигатель,M54 масложор,200,400,700,35,6,0.55,375
BMW,3 серия,E46 рестайлинг,2003-2006,подвеска,Износ задних пружин,120,200,350,30,4,0.55,375
BMW,3 серия,E90/E91/E92/E93,2005-2009,двигатель,N52 масложор/VANOS,300,600,900,45,12,0.65,750
BMW,3 серия,E90/E91/E92/E93,2005-2009,турбонаддув,N54 турбины/ТНВД,600,1200,2000,50,15,0.65,750
BMW,3 серия,E90/E91/E92/E93,2005-2009,электрика,FRM-модуль,150,250,350,35,5,0.65,750
BMW,3 серия,E90/E91/E92/E93 рестайлинг,2009-2013,двигатель,N55 wastegate/катушки,300,500,900,40,10,0.60,700
BMW,3 серия,E90/E91/E92/E93 рестайлинг,2009-2013,подвеска,Износ передних рычагов,150,300,500,35,5,0.60,700
BMW,3 серия,F30/F31,2012-2015,охлаждение,Помпа/антифриз B48/B58,250,350,450,30,4,0.55,500
BMW,3 серия,F30/F31,2012-2015,рулевое,Рулевая рейка,500,700,900,35,6,0.55,500
BMW,3 серия,F30/F31 рестайлинг,2015-2019,электрика,Сбои датчиков,80,150,250,30,3,0.50,450
BMW,3 серия,F30/F31 рестайлинг,2015-2019,подвеска,Износ задних амортизаторов,150,250,450,30,4,0.50,450
BMW,3 серия,G20,2019-наст,электрика,Сбои блока BDC,200,400,800,25,4,0.45,500
BMW,3 серия,G20,2019-наст,охлаждение,Помпа/термостат B48,250,400,600,25,4,0.45,500
BMW,4 серия,F32/F33/F36,2013-2016,охлаждение,Помпа/антифриз B48/B58,250,350,450,30,4,0.50,400
BMW,4 серия,F32/F33/F36,2013-2016,электроника,Сбои датчиков парковки,50,100,150,25,2,0.50,400
BMW,4 серия,F32/F33/F36,2013-2016,подвеска,Износ передних рычагов,150,300,500,30,4,0.50,400
BMW,4 серия,F32/F33/F36,2013-2016,трансмиссия,Износ мехатроника ZF8HP,400,700,1200,20,5,0.50,400
BMW,4 серия,F32/F33/F36 рестайлинг,2016-2020,двигатель,B48 течи антифриза,200,350,500,30,4,0.45,375
BMW,4 серия,F32/F33/F36 рестайлинг,2016-2020,электрика,Сбои блока BDC,150,300,600,25,4,0.45,375
BMW,4 серия,F32/F33/F36 рестайлинг,2016-2020,подвеска,Износ задних амортизаторов,150,250,450,30,4,0.45,375
BMW,4 серия,F32/F33/F36 рестайлинг,2016-2020,тормоза,Износ задних суппортов,120,200,350,20,3,0.45,375
BMW,5 серия,E34,1988-1992,подвеска,Износ рычагов,150,300,500,40,6,0.55,350
BMW,5 серия,E34,1988-1992,двигатель,Течи масла M50/M60,150,300,600,40,6,0.55,350
BMW,5 серия,E34,1988-1992,электрика,Старение проводки,80,150,300,30,4,0.55,350
BMW,5 серия,E34 рестайлинг,1992-1996,подвеска,Износ задних амортизаторов,150,250,450,35,5,0.50,325
BMW,5 серия,E34 рестайлинг,1992-1996,охлаждение,Помпа/радиатор,150,250,400,35,5,0.50,325
BMW,5 серия,E34 рестайлинг,1992-1996,электрика,Сбои датчиков ABS,80,150,250,30,3,0.50,325
