brand,model,generation,years,unit_type,issue_description,cost_min_usd,cost_mean_usd,cost_max_usd,issue_probability_pct,issue_price_impact_pct,model_risk_score,generation_avg_cost_usd
Chevrolet,Aveo,T200,2002-2008,подвеска,Износ передних рычагов,60,130,220,40,5,0.45,230
Chevrolet,Aveo,T200,2002-2008,подвеска,Стуки задних амортизаторов,50,110,180,35,4,0.45,230
Chevrolet,Aveo,T200,2002-2008,двигатель,1.2/1.4 — течи масла,100,180,300,30,6,0.45,230
Chevrolet,Aveo,T200,2002-2008,двигатель,Плавающие обороты (дроссель),50,100,160,25,4,0.45,230
Chevrolet,Aveo,T200,2002-2008,электрика,Сбои блока комфорта,60,120,200,30,4,0.45,230
Chevrolet,Aveo,T200,2002-2008,трансмиссия,4AT — толчки/износ гидроблока,250,450,800,25,8,0.45,230
Chevrolet,Aveo,T200,2002-2008,охлаждение,Течь радиатора/патрубков,60,120,200,25,4,0.45,230
Chevrolet,Aveo,T200,2002-2008,тормоза,Быстрый износ передних колодок,40,80,140,35,3,0.45,230
Chevrolet,Aveo,T250,2006-2008,подвеска,Износ передних рычагов,70,140,230,40,5,0.45,240
Chevrolet,Aveo,T250,2006-2008,подвеска,Стуки задних амортизаторов,60,120,200,35,4,0.45,240
Chevrolet,Aveo,T250,2006-2008,двигатель,1.4/1.6 — течи масла,100,200,350,30,6,0.45,240
Chevrolet,Aveo,T250,2006-2008,двигатель,Плавающие обороты (дроссель),60,110,180,25,4,0.45,240
Chevrolet,Aveo,T250,2006-2008,электрика,Сбои блока комфорта/ЦЗ,70,130,220,30,4,0.45,240
Chevrolet,Aveo,T250,2006-2008,трансмиссия,4AT — толчки/износ гидроблока,280,500,850,25,8,0.45,240
Chevrolet,Aveo,T250,2006-2008,охлаждение,Течь радиатора/патрубков,70,130,220,25,4,0.45,240
Chevrolet,Aveo,T250,2006-2008,тормоза,Быстрый износ передних колодок,40,90,150,35,3,0.45,240
Chevrolet,Aveo,T250 рест,2008-2011,подвеска,Износ передних рычагов,70,150,240,40,5,0.47,250
Chevrolet,Aveo,T250 рест,2008-2011,подвеска,Стуки задних амортизаторов,60,120,200,35,4,0.47,250
Chevrolet,Aveo,T250 рест,2008-2011,двигатель,1.4/1.6 — течи масла/клапанная крышка,110,200,330,30,6,0.47,250
Chevrolet,Aveo,T250 рест,2008-2011,двигатель,Плавающие обороты (дроссель/ДПДЗ),60,110,180,25,4,0.47,250
Chevrolet,Aveo,T250 рест,2008-2011,электрика,Сбои блока комфорта/ЦЗ,70,140,230,30,4,0.47,250
Chevrolet,Aveo,T250 рест,2008-2011,трансмиссия,4AT — износ гидроблока,300,520,880,25,8,0.47,250
Chevrolet,Aveo,T250 рест,2008-2011,охлаждение,Течь радиатора/термостата,70,130,220,25,4,0.47,250
Chevrolet,Aveo,T250 рест,2008-2011,тормоза,Быстрый износ передних колодок,40,90,150,35,3,0.47,250
Chevrolet,Aveo,T300,2011-2020,подвеска,Износ передних стоек стабилизатора,80,150,240,35,4,0.50,260
Chevrolet,Aveo,T300,2011-2020,подвеска,Передние рычаги — износ сайлентблоков,100,180,300,30,5,0.50,260
Chevrolet,Aveo,T300,2011-2020,двигатель,1.6 — течи масла/клапанная крышка,120,220,350,30,6,0.50,260
Chevrolet,Aveo,T300,2011-2020,двигатель,Неустойчивая работа из-за катушек,80,150,250,25,5,0.50,260
Chevrolet,Aveo,T300,2011-2020,электрика,Сбои блока BCM/мультимедиа,120,200,350,30,4,0.50,260
Chevrolet,Aveo,T300,2011-2020,трансмиссия,6AT — износ гидроблока,350,600,950,20,8,0.50,260
Chevrolet,Aveo,T300,2011-2020,охлаждение,Течь радиатора/термостата,100,180,300,25,4,0.50,260
Chevrolet,Aveo,T300,2011-2020,тормоза,Быстрый износ передних колодок,50,100,170,35,3,0.50,260
Chevrolet,Bolt,1,2017-2020,электрика,Деградация HV батареи,800,1500,3000,20,10,0.60,780
Chevrolet,Bolt,1,2017-2020,электрика,Сбои зарядного модуля OBC,300,550,900,15,7,0.60,780
Chevrolet,Bolt,1,2017-2020,электрика,Неисправность инвертора,600,1100,1800,10,8,0.60,780
Chevrolet,Bolt,1,2017-2020,электрика,Сбои блока BMS,250,450,800,15,6,0.60,780
