brand,model,generation,years,unit_type,issue_description,cost_min_usd,cost_mean_usd,cost_max_usd,issue_probability_pct,issue_price_impact_pct,model_risk_score,generation_avg_cost_usd
Chrysler,300C,1,2004-2007,подвеска,Износ передних рычагов,220,380,600,35,5,0.58,600
Chrysler,300C,1,2004-2007,подвеска,Стуки задних амортизаторов,180,300,480,30,4,0.58,600
Chrysler,300C,1,2004-2007,двигатель,2.7/3.5/5.7 — течи прокладок,250,420,700,25,6,0.58,600
Chrysler,300C,1,2004-2007,двигатель,Износ маслонасоса,300,520,850,18,7,0.58,600
Chrysler,300C,1,2004-2007,электрика,Сбои BCM/датчиков,150,240,380,20,4,0.58,600
Chrysler,300C,1,2004-2007,трансмиссия,5AT — износ/пробуксовки,450,750,1200,20,9,0.58,600
Chrysler,300C,1,2004-2007,охлаждение,Течь радиатора/помпы,130,210,340,22,4,0.58,600
Chrysler,300C,1,2004-2007,тормоза,Быстрый износ передних дисков,100,160,260,28,3,0.58,600
Chrysler,300C,1 рестайлинг,2007-2012,подвеска,Износ передних рычагов,230,390,620,35,5,0.56,620
Chrysler,300C,1 рестайлинг,2007-2012,подвеска,Стуки задних амортизаторов,180,300,480,30,4,0.56,620
Chrysler,300C,1 рестайлинг,2007-2012,двигатель,3.5/5.7/6.1 — течи прокладок,250,420,700,25,6,0.56,620
Chrysler,300C,1 рестайлинг,2007-2012,двигатель,Износ фазовращателей,350,580,900,18,8,0.56,620
Chrysler,300C,1 рестайлинг,2007-2012,электрика,Сбои BCM/датчиков,150,240,380,20,4,0.56,620
Chrysler,300C,1 рестайлинг,2007-2012,трансмиссия,5AT — износ/пробуксовки,450,750,1200,20,9,0.56,620
Chrysler,300C,1 рестайлинг,2007-2012,охлаждение,Течь радиатора/помпы,130,210,340,22,4,0.56,620
Chrysler,300C,1 рестайлинг,2007-2012,тормоза,Быстрый износ передних дисков,100,160,260,28,3,0.56,620
Chrysler,300C,2 рестайлинг,2015-наст,подвеска,Износ передних стоек стабилизатора,180,300,480,30,4,0.52,480
Chrysler,300C,2 рестайлинг,2015-наст,подвеска,Износ задних амортизаторов,190,310,500,25,4,0.52,480
Chrysler,300C,2 рестайлинг,2015-наст,двигатель,3.6/5.7 — течи масла,200,330,520,22,6,0.52,480
Chrysler,300C,2 рестайлинг,2015-наст,двигатель,Износ фазовращателей,350,580,900,15,8,0.52,480
Chrysler,300C,2 рестайлинг,2015-наст,электрика,Сбои BCM/ADAS,160,260,420,20,4,0.52,480
Chrysler,300C,2 рестайлинг,2015-наст,трансмиссия,8AT — вибрации/рывки,550,850,1300,18,9,0.52,480
Chrysler,300C,2 рестайлинг,2015-наст,охлаждение,Неисправность термостата/помпы,140,220,350,20,4,0.52,480
Chrysler,300C,2 рестайлинг,2015-наст,тормоза,Быстрый износ передних колодок,90,150,240,28,3,0.52,480
Chrysler,300M,1,1998-2004,подвеска,Износ передних рычагов,180,300,480,35,5,0.55,480
Chrysler,300M,1,1998-2004,подвеска,Стуки задних амортизаторов,150,240,380,30,4,0.55,480
Chrysler,300M,1,1998-2004,двигатель,2.7/3.5 — течи прокладок,220,360,580,25,6,0.55,480
Chrysler,300M,1,1998-2004,двигатель,Перегрев из-за помпы/термостата,150,240,380,20,6,0.55,480
Chrysler,300M,1,1998-2004,электрика,Сбои BCM/датчиков,120,200,330,20,4,0.55,480
Chrysler,300M,1,1998-2004,трансмиссия,4AT — износ/пробуксовки,350,580,900,20,9,0.55,480
Chrysler,300M,1,1998-2004,охлаждение,Течь радиатора/помпы,130,210,340,22,4,0.55,480
Chrysler,300M,1,1998-2004,тормоза,Быстрый износ передних дисков,90,150,240,28,3,0.55,480
Chrysler,Grand Voyager,2,1990-1995,подвеска,Износ передних рычагов,120,200,320,40,5,0.52,320
Chrysler,Grand Voyager,2,1990-1995,подвеска,Стуки задних амортизаторов,100,160,260,35,4,0.52,320
Chrysler,Grand Voyager,2,1990-1995,двигатель,2.5/3.3 — течи масла,150,240,380,30,6,0.52,320
Chrysler,Grand Voyager,2,1990-1995,двигатель,Перегрев (радиатор/помпа),120,200,330,25,5,0.52,320
Chrysler,Grand Voyager,2,1990-1995,электрика,Сбои генератора/проводки,80,140,220,25,4,0.52,320
Chrysler,Grand Voyager,2,1990-1995,трансмиссия,4AT — пробуксовки/износ,300,480,750,20,8,0.52,320
Chrysler,Grand Voyager,2,1990-1995,охлаждение,Течь радиатора,90,150,240,22,4,0.52,320
Chrysler,Grand Voyager,2,1990-1995,тормоза,Быстрый износ передних колодок,40,70,110,35,3,0.52,320
Chrysler,Grand Voyager,3,1995-2000,подвеска,Износ передних рычагов,130,220,350,38,5,0.50,350
Chrysler,Grand Voyager,3,1995-2000,подвеска,Стуки задних амортизаторов,110,180,290,32,4,0.50,350
Chrysler,Grand Voyager,3,1995-2000,двигатель,2.4/3.3/3.8 — течи масла,160,260,420,28,6,0.50,350
Chrysler,Grand Voyager,3,1995-2000,двигатель,Неисправность EGR/датчиков,100,160,260,25,4,0.50,350
Chrysler,Grand Voyager,3,1995-2000,электрика,Сбои BCM/проводки,90,150,240,22,4,0.50,350
Chrysler,Grand Voyager,3,1995-2000,трансмиссия,4AT — износ/рывки,320,500,780,20,8,0.50,350
Chrysler,Grand Voyager,3,1995-2000,охлаждение,Течь радиатора/помпы,100,160,260,22,4,0.50,350
Chrysler,Grand Voyager,3,1995-2000,тормоза,Быстрый износ передних дисков,50,90,140,30,3,0.50,350
Chrysler,Grand Voyager,4,2000-2004,подвеска,Износ передних рычагов,150,250,400,35,5,0.48,400
Chrysler,Grand Voyager,4,2000-2004,подвеска,Стуки задних амортизаторов,120,200,320,30,4,0.48,400
Chrysler,Grand Voyager,4,2000-2004,двигатель,3.3/3.8 — течи масла,170,280,450,25,6,0.48,400
Chrysler,Grand Voyager,4,2000-2004,двигатель,Износ датчиков/катушек,120,200,330,22,5,0.48,400
Chrysler,Grand Voyager,4,2000-2004,электрика,Сбои BCM/модулей дверей,110,180,300,20,4,0.48,400
Chrysler,Grand Voyager,4,2000-2004,трансмиссия,41TE — пробуксовки/износ,380,600,950,20,9,0.48,400
Chrysler,Grand Voyager,4,2000-2004,охлаждение,Течь радиатора/помпы,120,200,330,22,4,0.48,400
Chrysler,Grand Voyager,4,2000-2004,тормоза,Быстрый износ передних дисков,70,130,210,28,3,0.48,400
Chrysler,Grand Voyager,4 рестайлинг,2004-2007,подвеска,Износ передних рычагов,160,260,420,35,5,0.47,420
Chrysler,Grand Voyager,4 рестайлинг,2004-2007,подвеска,Стуки задних амортизаторов,120,200,320,30,4,0.47,420
Chrysler,Grand Voyager,4 рестайлинг,2004-2007,двигатель,3.3/3.8 — течи масла,170,280,450,25,6,0.47,420
Chrysler,Grand Voyager,4 рестайлинг,2004-2007,двигатель,Износ датчиков/катушек,120,200,330,22,5,0.47,420
Chrysler,Grand Voyager,4 рестайлинг,2004-2007,электрика,Сбои BCM/модулей дверей,110,180,300,20,4,0.47,420
Chrysler,Grand Voyager,4 рестайлинг,2004-2007,трансмиссия,41TE — пробуксовки/износ,380,600,950,20,9,0.47,420
Chrysler,Grand Voyager,4 рестайлинг,2004-2007,охлаждение,Течь радиатора/помпы,120,200,330,22,4,0.47,420
Chrysler,Grand Voyager,4 рестайлинг,2004-2007,тормоза,Быстрый износ передних дисков,70,130,210,28,3,0.47,420
Chrysler,Grand Voyager,5,2007-2010,подвеска,Износ передних сайлентблоков,170,280,450,32,5,0.46,450
Chrysler,Grand Voyager,5,2007-2010,подвеска,Стуки задних амортизаторов,130,210,340,28,4,0.46,450
Chrysler,Grand Voyager,5,2007-2010,двигатель,3.3/3.8 — течи масла,180,300,480,25,6,0.46,450
Chrysler,Grand Voyager,5,2007-2010,двигатель,Износ фазовращателей,300,520,850,18,8,0.46,450
Chrysler,Grand Voyager,5,2007-2010,электрика,Сбои BCM/модулей дверей,120,200,330,20,4,0.46,450
Chrysler,Grand Voyager,5,2007-2010,трансмиссия,62TE — вибрации/износ,450,700,1100,20,9,0.46,450
Chrysler,Grand Voyager,5,2007-2010,охлаждение,Неисправность термостата/помпы,130,210,340,20,4,0.46,450
Chrysler,Grand Voyager,5,2007-2010,тормоза,Быстрый износ передних дисков,80,140,220,28,3,0.46,450
Chrysler,Neon,1,1994-1999,подвеска,Износ передних рычагов,90,150,240,40,5,0.50,240
Chrysler,Neon,1,1994-1999,подвеска,Стуки задних амортизаторов,70,120,190,35,4,0.50,240
Chrysler,Neon,1,1994-1999,двигатель,2.0 — течи масла,100,160,260,30,6,0.50,240
Chrysler,Neon,1,1994-1999,двигатель,Неустойчивая работа (датчики/катушки),70,120,200,28,4,0.50,240
Chrysler,Neon,1,1994-1999,электрика,Сбои генератора/проводки,60,110,180,25,4,0.50,240
Chrysler,Neon,1,1994-1999,трансмиссия,3AT/5MT — износ сцепления/гидроблока,150,260,420,22,6,0.50,240
Chrysler,Neon,1,1994-1999,охлаждение,Течь радиатора/патрубков,60,110,180,25,4,0.50,240
Chrysler,Neon,1,1994-1999,тормоза,Быстрый износ передних колодок,40,70,110,35,3,0.50,240
Chrysler,Neon,2,1999-2005,подвеска,Износ передних рычагов,100,170,260,38,5,0.48,260
Chrysler,Neon,2,1999-2005,подвеска,Стуки задних амортизаторов,80,130,200,32,4,0.48,260
Chrysler,Neon,2,1999-2005,двигатель,2.0 — течи масла/клапанная крышка,110,180,280,28,6,0.48,260
Chrysler,Neon,2,1999-2005,двигатель,Износ катушек/датчиков,80,130,210,25,5,0.48,260
Chrysler,Neon,2,1999-2005,электрика,Сбои BCM/проводки,70,120,190,22,4,0.48,260
Chrysler,Neon,2,1999-2005,трансмиссия,4AT — пробуксовки/износ,250,380,600,20,8,0.48,260
Chrysler,Neon,2,1999-2005,охлаждение,Неисправность термостата/помпы,70,120,190,22,4,0.48,260
Chrysler,Neon,2,1999-2005,тормоза,Быстрый износ передних дисков,50,90,140,30,3,0.48,260
Chrysler,Pacifica,1,2003-2006,подвеска,Износ передних рычагов,160,260,420,35,5,0.54,420
Chrysler,Pacifica,1,2003-2006,подвеска,Стуки задних амортизаторов,130,210,340,30,4,0.54,420
Chrysler,Pacifica,1,2003-2006,двигатель,3.5 — течи прокладок,180,300,480,25,6,0.54,420
Chrysler,Pacifica,1,2003-2006,двигатель,Неисправность датчиков/катушек,120,200,330,22,5,0.54,420
Chrysler,Pacifica,1,2003-2006,электрика,Сбои BCM/модулей дверей,110,180,300,20,4,0.54,420
Chrysler,Pacifica,1,2003-2006,трансмиссия,4AT — пробуксовки/износ,380,600,950,20,9,0.54,420
Chrysler,Pacifica,1,2003-2006,охлаждение,Течь радиатора/помпы,120,200,330,22,4,0.54,420
Chrysler,Pacifica,1,2003-2006,тормоза,Быстрый износ передних дисков,70,130,210,28,3,0.54,420
Chrysler,Pacifica,1 рестайлинг,2006-2007,подвеска,Износ передних рычагов,170,270,440,35,5,0.53,440
Chrysler,Pacifica,1 рестайлинг,2006-2007,подвеска,Стуки задних амортизаторов,130,210,340,30,4,0.53,440
Chrysler,Pacifica,1 рестайлинг,2006-2007,двигатель,3.5/4.0 — течи масла,180,300,480,25,6,0.53,440
Chrysler,Pacifica,1 рестайлинг,2006-2007,двигатель,Неисправность датчиков/катушек,120,200,330,22,5,0.53,440
Chrysler,Pacifica,1 рестайлинг,2006-2007,электрика,Сбои BCM/модулей дверей,110,180,300,20,4,0.53,440
Chrysler,Pacifica,1 рестайлинг,2006-2007,трансмиссия,6AT — вибрации/износ,420,650,1000,20,9,0.53,440
Chrysler,Pacifica,1 рестайлинг,2006-2007,охлаждение,Течь радиатора/помпы,120,200,330,22,4,0.53,440
Chrysler,Pacifica,1 рестайлинг,2006-2007,тормоза,Быстрый износ передних дисков,70,130,210,28,3,0.53,440
