brand,model,generation,years,unit_type,issue_description,cost_min_usd,cost_mean_usd,cost_max_usd,issue_probability_pct,issue_price_impact_pct,model_risk_score,generation_avg_cost_usd
Citroen,Berlingo,1,1996-2002,подвеска,Износ передних рычагов,120,200,320,40,5,0.52,320
Citroen,Berlingo,1,1996-2002,подвеска,Стуки задних амортизаторов,100,160,260,35,4,0.52,320
Citroen,Berlingo,1,1996-2002,двигатель,1.4/1.8/1.9D — течи масла,140,220,360,30,6,0.52,320
Citroen,Berlingo,1,1996-2002,двигатель,Неисправность датчиков/катушек,100,160,260,25,5,0.52,320
Citroen,Berlingo,1,1996-2002,электрика,Сбои проводки/генератора,80,130,200,22,4,0.52,320
Citroen,Berlingo,1,1996-2002,трансмиссия,5MT — износ сцепления,180,300,480,20,7,0.52,320
Citroen,Berlingo,1,1996-2002,охлаждение,Течь радиатора/помпы,90,150,240,22,4,0.52,320
Citroen,Berlingo,1,1996-2002,тормоза,Быстрый износ передних дисков,50,90,140,30,3,0.52,320
Citroen,Berlingo,1 рестайлинг,2002-2012,подвеска,Износ передних рычагов,130,210,340,38,5,0.50,340
Citroen,Berlingo,1 рестайлинг,2002-2012,подвеска,Стуки задних амортизаторов,100,160,260,32,4,0.50,340
Citroen,Berlingo,1 рестайлинг,2002-2012,двигатель,1.6/2.0 HDi — течи масла,150,240,380,28,6,0.50,340
Citroen,Berlingo,1 рестайлинг,2002-2012,двигатель,Износ форсунок/датчиков,120,200,330,25,5,0.50,340
Citroen,Berlingo,1 рестайлинг,2002-2012,электрика,Сбои BSI/датчиков,90,150,240,22,4,0.50,340
Citroen,Berlingo,1 рестайлинг,2002-2012,трансмиссия,5MT — износ сцепления,200,320,500,20,7,0.50,340
Citroen,Berlingo,1 рестайлинг,2002-2012,охлаждение,Неисправность термостата/помпы,100,160,260,22,4,0.50,340
Citroen,Berlingo,1 рестайлинг,2002-2012,тормоза,Быстрый износ передних дисков,60,100,160,30,3,0.50,340
Citroen,Berlingo,2,2008-2012,подвеска,Износ передних стоек стабилизатора,140,220,340,35,4,0.48,340
Citroen,Berlingo,2,2008-2012,подвеска,Износ задних амортизаторов,120,190,300,30,4,0.48,340
Citroen,Berlingo,2,2008-2012,двигатель,1.6 HDi — течи масла/турбина,180,280,450,25,7,0.48,340
Citroen,Berlingo,2,2008-2012,двигатель,Износ форсунок/датчиков,140,220,360,22,5,0.48,340
Citroen,Berlingo,2,2008-2012,электрика,Сбои BSI/датчиков ABS,110,170,260,20,4,0.48,340
Citroen,Berlingo,2,2008-2012,трансмиссия,5MT — износ сцепления,220,340,520,18,7,0.48,340
Citroen,Berlingo,2,2008-2012,охлаждение,Неисправность термостата/помпы,110,170,260,20,4,0.48,340
Citroen,Berlingo,2,2008-2012,тормоза,Быстрый износ передних дисков,70,120,180,28,3,0.48,340
Citroen,Berlingo,2 рестайлинг,2012-2015,подвеска,Износ передних стоек стабилизатора,150,230,360,35,4,0.47,360
Citroen,Berlingo,2 рестайлинг,2012-2015,подвеска,Износ задних амортизаторов,120,190,300,30,4,0.47,360
Citroen,Berlingo,2 рестайлинг,2012-2015,двигатель,1.6 HDi — течи масла/турбина,180,280,450,25,7,0.47,360
Citroen,Berlingo,2 рестайлинг,2012-2015,двигатель,Износ форсунок/датчиков,140,220,360,22,5,0.47,360
Citroen,Berlingo,2 рестайлинг,2012-2015,электрика,Сбои BSI/датчиков ABS,110,170,260,20,4,0.47,360
Citroen,Berlingo,2 рестайлинг,2012-2015,трансмиссия,5MT — износ сцепления,220,340,520,18,7,0.47,360
Citroen,Berlingo,2 рестайлинг,2012-2015,охлаждение,Неисправность термостата/помпы,110,170,260,20,4,0.47,360
Citroen,Berlingo,2 рестайлинг,2012-2015,тормоза,Быстрый износ передних дисков,70,120,180,28,3,0.47,360
Citroen,Berlingo,2 2-й рестайлинг,2015-2022,подвеска,Износ передних стоек стабилизатора,150,240,370,35,4,0.46,370
Citroen,Berlingo,2 2-й рестайлинг,2015-2022,подвеска,Износ задних амортизаторов,130,200,320,30,4,0.46,370
Citroen,Berlingo,2 2-й рестайлинг,2015-2022,двигатель,1.6/1.5 BlueHDi — течи масла,180,290,460,25,7,0.46,370
Citroen,Berlingo,2 2-й рестайлинг,2015-2022,двигатель,Износ форсунок/датчиков,140,230,360,22,5,0.46,370
Citroen,Berlingo,2 2-й рестайлинг,2015-2022,электрика,Сбои BSI/датчиков ABS,110,180,270,20,4,0.46,370
Citroen,Berlingo,2 2-й рестайлинг,2015-2022,трансмиссия,5MT/6MT — износ сцепления,230,360,540,18,7,0.46,370
Citroen,Berlingo,2 2-й рестайлинг,2015-2022,охлаждение,Неисправность термостата/помпы,110,180,270,20,4,0.46,370
Citroen,Berlingo,2 2-й рестайлинг,2015-2022,тормоза,Быстрый износ передних дисков,70,120,180,28,3,0.46,370
Citroen,Berlingo,3,2018-2024,подвеска,Износ передних стоек стабилизатора,160,250,380,30,4,0.44,380
Citroen,Berlingo,3,2018-2024,подвеска,Износ задних амортизаторов,140,220,340,25,4,0.44,380
Citroen,Berlingo,3,2018-2024,двигатель,1.2 PureTech — течи масла/цепь,200,320,500,22,7,0.44,380
Citroen,Berlingo,3,2018-2024,двигатель,1.5 BlueHDi — износ форсунок,180,290,460,20,6,0.44,380
Citroen,Berlingo,3,2018-2024,электрика,Сбои BSI/ADAS,130,210,340,20,4,0.44,380
Citroen,Berlingo,3,2018-2024,трансмиссия,EAT8 — вибрации/рывки,350,550,850,18,9,0.44,380
Citroen,Berlingo,3,2018-2024,охлаждение,Неисправность термостата/помпы,130,210,340,20,4,0.44,380
Citroen,Berlingo,3,2018-2024,тормоза,Быстрый износ передних колодок,80,140,220,28,3,0.44,380
Citroen,C1,1,2005-2008,подвеска,Износ передних стоек стабилизатора,70,120,180,35,4,0.42,180
Citroen,C1,1,2005-2008,подвеска,Стуки задних амортизаторов,60,100,160,30,4,0.42,180
Citroen,C1,1,2005-2008,двигатель,1.0/1.4 — течи масла,90,150,230,25,6,0.42,180
Citroen,C1,1,2005-2008,двигатель,Неисправность катушек/датчиков,70,120,180,22,5,0.42,180
Citroen,C1,1,2005-2008,электрика,Сбои проводки/датчиков ABS,60,100,160,20,4,0.42,180
Citroen,C1,1,2005-2008,трансмиссия,Робот — рывки/износ сцепления,200,320,480,18,9,0.42,180
Citroen,C1,1,2005-2008,охлаждение,Неисправность термостата,60,100,160,20,4,0.42,180
Citroen,C1,1,2005-2008,тормоза,Быстрый износ передних колодок,40,70,110,28,3,0.42,180
Citroen,C1,1 рестайлинг,2008-2012,подвеска,Износ передних стоек стабилизатора,70,120,180,35,4,0.40,180
Citroen,C1,1 рестайлинг,2008-2012,подвеска,Стуки задних амортизаторов,60,100,160,30,4,0.40,180
Citroen,C1,1 рестайлинг,2008-2012,двигатель,1.0/1.4 — течи масла,90,150,230,25,6,0.40,180
Citroen,C1,1 рестайлинг,2008-2012,двигатель,Неисправность катушек/датчиков,70,120,180,22,5,0.40,180
Citroen,C1,1 рестайлинг,2008-2012,электрика,Сбои проводки/датчиков ABS,60,100,160,20,4,0.40,180
Citroen,C1,1 рестайлинг,2008-2012,трансмиссия,Робот — рывки/износ сцепления,200,320,480,18,9,0.40,180
Citroen,C1,1 рестайлинг,2008-2012,охлаждение,Неисправность термостата,60,100,160,20,4,0.40,180
Citroen,C1,1 рестайлинг,2008-2012,тормоза,Быстрый износ передних колодок,40,70,110,28,3,0.40,180
Citroen,C1,2,2014-2022,подвеска,Износ передних стоек стабилизатора,80,130,200,30,4,0.38,200
Citroen,C1,2,2014-2022,подвеска,Износ задних амортизаторов,70,120,180,25,4,0.38,200
Citroen,C1,2,2014-2022,двигатель,1.0/1.2 — течи масла,100,160,240,22,6,0.38,200
Citroen,C1,2,2014-2022,двигатель,Износ катушек/датчиков,80,130,200,20,5,0.38,200
Citroen,C1,2,2014-2022,электрика,Сбои BCM/датчиков ABS,70,120,180,20,4,0.38,200
Citroen,C1,2,2014-2022,трансмиссия,Робот ETG — рывки/износ сцепления,250,380,580,18,9,0.38,200
Citroen,C1,2,2014-2022,охлаждение,Неисправность термостата/помпы,70,120,180,20,4,0.38,200
Citroen,C1,2,2014-2022,тормоза,Быстрый износ передних колодок,50,90,140,28,3,0.38,200
Citroen,C2,1,2003-2008,подвеска,Износ передних стоек стабилизатора,80,130,200,35,4,0.44,200
Citroen,C2,1,2003-2008,подвеска,Стуки задних амортизаторов,70,120,180,30,4,0.44,200
Citroen,C2,1,2003-2008,двигатель,1.1/1.4/1.6 — течи масла,110,170,260,25,6,0.44,200
Citroen,C2,1,2003-2008,двигатель,Неисправность катушек/датчиков,80,130,200,22,5,0.44,200
Citroen,C2,1,2003-2008,электрика,Сбои BSI/датчиков ABS,70,120,180,20,4,0.44,200
Citroen,C2,1,2003-2008,трансмиссия,Робот SensoDrive — рывки/износ сцепления,250,380,580,18,9,0.44,200
Citroen,C2,1,2003-2008,охлаждение,Неисправность термостата/помпы,70,120,180,20,4,0.44,200
Citroen,C2,1,2003-2008,тормоза,Быстрый износ передних колодок,50,90,140,28,3,0.44,200
Citroen,C2,1 рестайлинг,2008-2009,подвеска,Износ передних стоек стабилизатора,80,130,200,35,4,0.43,200
Citroen,C2,1 рестайлинг,2008-2009,подвеска,Стуки задних амортизаторов,70,120,180,30,4,0.43,200
Citroen,C2,1 рестайлинг,2008-2009,двигатель,1.1/1.4/1.6 — течи масла,110,170,260,25,6,0.43,200
Citroen,C2,1 рестайлинг,2008-2009,двигатель,Неисправность катушек/датчиков,80,130,200,22,5,0.43,200
Citroen,C2,1 рестайлинг,2008-2009,электрика,Сбои BSI/датчиков ABS,70,120,180,20,4,0.43,200
Citroen,C2,1 рестайлинг,2008-2009,трансмиссия,Робот SensoDrive — рывки/износ сцепления,250,380,580,18,9,0.43,200
Citroen,C2,1 рестайлинг,2008-2009,охлаждение,Неисправность термостата/помпы,70,120,180,20,4,0.43,200
Citroen,C2,1 рестайлинг,2008-2009,тормоза,Быстрый износ передних колодок,50,90,140,28,3,0.43,200
Citroen,C3,1,2002-2006,подвеска,Износ передних стоек стабилизатора,90,150,230,38,4,0.48,230
Citroen,C3,1,2002-2006,подвеска,Стуки задних амортизаторов,80,130,200,32,4,0.48,230
Citroen,C3,1,2002-2006,двигатель,1.1/1.4/1.6 — течи масла,120,190,300,28,6,0.48,230
Citroen,C3,1,2002-2006,двигатель,Неисправность катушек/датчиков,90,150,230,25,5,0.48,230
Citroen,C3,1,2002-2006,электрика,Сбои BSI/датчиков ABS,80,130,200,22,4,0.48,230
Citroen,C3,1,2002-2006,трансмиссия,SensoDrive — рывки/износ сцепления,260,380,580,18,9,0.48,230
Citroen,C3,1,2002-2006,охлаждение,Неисправность термостата/помпы,80,130,200,20,4,0.48,230
Citroen,C3,1,2002-2006,тормоза,Быстрый износ передних колодок,50,90,140,30,3,0.48,230
Citroen,C3,1 рестайлинг,2005-2010,подвеска,Износ передних стоек стабилизатора,90,150,230,38,4,0.47,230
Citroen,C3,1 рестайлинг,2005-2010,подвеска,Стуки задних амортизаторов,80,130,200,32,4,0.47,230
Citroen,C3,1 рестайлинг,2005-2010,двигатель,1.1/1.4/1.6 — течи масла,120,190,300,28,6,0.47,230
Citroen,C3,1 рестайлинг,2005-2010,двигатель,Неисправность катушек/датчиков,90,150,230,25,5,0.47,230
Citroen,C3,1 рестайлинг,2005-2010,электрика,Сбои BSI/датчиков ABS,80,130,200,22,4,0.47,230
Citroen,C3,1 рестайлинг,2005-2010,трансмиссия,SensoDrive — рывки/износ сцепления,260,380,580,18,9,0.47,230
Citroen,C3,1 рестайлинг,2005-2010,охлаждение,Неисправность термостата/помпы,80,130,200,20,4,0.47,230
Citroen,C3,1 рестайлинг,2005-2010,тормоза,Быстрый износ передних колодок,50,90,140,30,3,0.47,230
Citroen,C3,2,2009-2013,подвеска,Износ передних стоек стабилизатора,110,170,260,35,4,0.45,260
Citroen,C3,2,2009-2013,подвеска,Износ задних амортизаторов,90,150,230,30,4,0.45,260
Citroen,C3,2,2009-2013,двигатель,1.4/1.6 VTi — течи масла,140,220,340,25,6,0.45,260
Citroen,C3,2,2009-2013,двигатель,Износ катушек/датчиков,100,160,250,22,5,0.45,260
Citroen,C3,2,2009-2013,электрика,Сбои BSI/датчиков ABS,90,150,230,20,4,0.45,260
Citroen,C3,2,2009-2013,трансмиссия,AL4 — рывки/износ гидроблока,300,450,700,18,9,0.45,260
Citroen,C3,2,2009-2013,охлаждение,Неисправность термостата/помпы,90,150,230,20,4,0.45,260
Citroen,C3,2,2009-2013,тормоза,Быстрый износ передних дисков,60,100,160,28,3,0.45,260
Citroen,C3,2 рестайлинг,2013-2016,подвеска,Износ передних стоек стабилизатора,110,180,270,35,4,0.44,270
Citroen,C3,2 рестайлинг,2013-2016,подвеска,Износ задних амортизаторов,90,150,230,30,4,0.44,270
Citroen,C3,2 рестайлинг,2013-2016,двигатель,1.2 PureTech — течи масла/цепь,160,250,380,25,7,0.44,270
Citroen,C3,2 рестайлинг,2013-2016,двигатель,1.6 HDi — износ форсунок,150,230,360,22,6,0.44,270
Citroen,C3,2 рестайлинг,2013-2016,электрика,Сбои BSI/датчиков ABS,90,150,230,20,4,0.44,270
