brand,model,generation,years,unit_type,issue_description,cost_min_usd,cost_mean_usd,cost_max_usd,issue_probability_pct,issue_price_impact_pct,model_risk_score,generation_avg_cost_usd
Daewoo,Lanos,1,1997-2002,подвеска,Износ передних рычагов,90,140,210,35,4,0.38,210
Daewoo,Lanos,1,1997-2002,подвеска,Износ задней балки (подшипники),130,200,300,30,7,0.38,210
Daewoo,Lanos,1,1997-2002,двигатель,1.5/1.6 бензин — износ катушек,80,130,200,22,5,0.38,210
Daewoo,Lanos,1,1997-2002,двигатель,1.5 — течи масла/сальники,90,150,230,25,6,0.38,210
Daewoo,Lanos,1,1997-2002,электрика,Сбои проводки/датчиков ABS,70,110,170,20,4,0.38,210
Daewoo,Lanos,1,1997-2002,трансмиссия,5MT — износ сцепления,120,180,260,18,7,0.38,210
Daewoo,Lanos,1,1997-2002,охлаждение,Неисправность радиатора/помпы,70,110,170,20,4,0.38,210
Daewoo,Lanos,1,1997-2002,тормоза,Быстрый износ передних дисков,40,70,110,28,3,0.38,210
Daewoo,Lanos,1 рестайлинг,2002-2009,подвеска,Износ передних рычагов,100,150,230,35,4,0.36,230
Daewoo,Lanos,1 рестайлинг,2002-2009,подвеска,Износ задней балки (подшипники),140,210,320,30,7,0.36,230
Daewoo,Lanos,1 рестайлинг,2002-2009,двигатель,1.5/1.6 бензин — износ катушек,90,140,220,22,5,0.36,230
Daewoo,Lanos,1 рестайлинг,2002-2009,двигатель,1.5 — течи масла/сальники,100,160,250,25,6,0.36,230
Daewoo,Lanos,1 рестайлинг,2002-2009,электрика,Сбои проводки/датчиков ABS,80,120,180,20,4,0.36,230
Daewoo,Lanos,1 рестайлинг,2002-2009,трансмиссия,5MT — износ сцепления,130,190,280,18,7,0.36,230
Daewoo,Lanos,1 рестайлинг,2002-2009,охлаждение,Неисправность радиатора/помпы,80,120,180,20,4,0.36,230
Daewoo,Lanos,1 рестайлинг,2002-2009,тормоза,Быстрый износ передних дисков,40,70,110,28,3,0.36,230
Daewoo,Leganza,1,1997-2002,подвеска,Износ передних рычагов,120,180,270,35,4,0.41,270
Daewoo,Leganza,1,1997-2002,подвеска,Износ задних амортизаторов,110,170,260,30,4,0.41,270
Daewoo,Leganza,1,1997-2002,двигатель,2.0/2.2 бензин — износ датчиков/катушек,120,180,270,22,5,0.41,270
Daewoo,Leganza,1,1997-2002,двигатель,2.0/2.2 — течи масла/сальники,140,210,320,25,6,0.41,270
Daewoo,Leganza,1,1997-2002,электрика,Сбои проводки/датчиков ABS,90,140,210,20,4,0.41,270
Daewoo,Leganza,1,1997-2002,трансмиссия,4AT — рывки/износ гидроблока,260,380,560,18,8,0.41,270
Daewoo,Leganza,1,1997-2002,охлаждение,Неисправность радиатора/помпы,90,140,210,20,4,0.41,270
Daewoo,Leganza,1,1997-2002,тормоза,Быстрый износ передних дисков,60,100,150,28,3,0.41,270
Daewoo,Matiz,M100,1998-2000,подвеска,Износ передних рычагов,70,110,170,35,4,0.34,170
Daewoo,Matiz,M100,1998-2000,подвеска,Износ задних амортизаторов,60,90,140,30,4,0.34,170
Daewoo,Matiz,M100,1998-2000,двигатель,0.8 бензин — износ катушек,60,100,150,22,5,0.34,170
Daewoo,Matiz,M100,1998-2000,двигатель,0.8 — течи масла/сальники,70,110,170,25,6,0.34,170
Daewoo,Matiz,M100,1998-2000,электрика,Сбои проводки/датчиков,50,80,120,20,4,0.34,170
Daewoo,Matiz,M100,1998-2000,трансмиссия,5MT — износ сцепления,90,130,190,18,7,0.34,170
Daewoo,Matiz,M100,1998-2000,охлаждение,Неисправность радиатора/помпы,50,80,120,20,4,0.34,170
Daewoo,Matiz,M100,1998-2000,тормоза,Быстрый износ передних дисков,30,50,80,28,3,0.34,170
Daewoo,Matiz,M150,2000-2005,подвеска,Износ передних рычагов,80,120,180,35,4,0.33,180
Daewoo,Matiz,M150,2000-2005,подвеска,Износ задних амортизаторов,70,100,150,30,4,0.33,180
Daewoo,Matiz,M150,2000-2005,двигатель,0.8 бензин — износ катушек,70,110,160,22,5,0.33,180
Daewoo,Matiz,M150,2000-2005,двигатель,0.8 — течи масла/сальники,80,120,180,25,6,0.33,180
Daewoo,Matiz,M150,2000-2005,электрика,Сбои проводки/датчиков,60,90,130,20,4,0.33,180
Daewoo,Matiz,M150,2000-2005,трансмиссия,5MT — износ сцепления,100,140,200,18,7,0.33,180
Daewoo,Matiz,M150,2000-2005,охлаждение,Неисправность радиатора/помпы,60,90,130,20,4,0.33,180
Daewoo,Matiz,M150,2000-2005,тормоза,Быстрый износ передних дисков,30,50,80,28,3,0.33,180
Daewoo,Matiz,M200,2005-2015,подвеска,Износ передних рычагов,90,130,200,35,4,0.32,200
Daewoo,Matiz,M200,2005-2015,подвеска,Износ задних амортизаторов,80,110,160,30,4,0.32,200
