brand,model,generation,years,unit_type,issue_description,cost_min_usd,cost_mean_usd,cost_max_usd,issue_probability_pct,issue_price_impact_pct,model_risk_score,generation_avg_cost_usd
Dodge,Caliber,1,2006-2012,подвеска,Износ передних рычагов,180,260,380,32,5,0.48,380
Dodge,Caliber,1,2006-2012,подвеска,Стойки стабилизатора — быстрый износ,90,140,210,38,3,0.48,380
Dodge,Caliber,1,2006-2012,двигатель,2.0/2.4 бензин — износ VVT,220,330,480,25,7,0.48,380
Dodge,Caliber,1,2006-2012,двигатель,Течь масла по крышке/сальникам,140,210,310,28,6,0.48,380
Dodge,Caliber,1,2006-2012,электрика,Сбои TIPM (блок управления),180,260,380,18,8,0.48,380
Dodge,Caliber,1,2006-2012,трансмиссия,CVT — износ ремня/гидроблока,450,750,1200,22,10,0.48,380
Dodge,Caliber,1,2006-2012,охлаждение,Неисправность термостата/помпы,120,180,260,20,4,0.48,380
Dodge,Caliber,1,2006-2012,тормоза,Износ передних дисков,70,110,160,30,3,0.48,380
Dodge,Caravan,2,1991-1995,подвеска,Износ передних рычагов,150,220,330,35,4,0.45,330
Dodge,Caravan,2,1991-1995,подвеска,Износ задних амортизаторов,130,190,270,30,4,0.45,330
Dodge,Caravan,2,1991-1995,двигатель,3.0/3.3 — течи масла/сальников,170,240,350,28,6,0.45,330
Dodge,Caravan,2,1991-1995,двигатель,Износ датчиков/катушек,140,200,290,22,5,0.45,330
Dodge,Caravan,2,1991-1995,электрика,Сбои проводки/реле,100,150,220,20,4,0.45,330
Dodge,Caravan,2,1991-1995,трансмиссия,4AT — износ гидроблока,300,420,620,18,8,0.45,330
Dodge,Caravan,2,1991-1995,охлаждение,Неисправность радиатора/помпы,100,150,220,20,4,0.45,330
Dodge,Caravan,2,1991-1995,тормоза,Износ передних дисков,60,90,140,28,3,0.45,330
Dodge,Caravan,3,1996-2000,подвеска,Износ передних рычагов,160,240,360,35,4,0.44,360
Dodge,Caravan,3,1996-2000,подвеска,Износ задних амортизаторов,140,200,290,30,4,0.44,360
Dodge,Caravan,3,1996-2000,двигатель,3.3/3.8 — течи масла/сальников,180,260,380,28,6,0.44,360
Dodge,Caravan,3,1996-2000,двигатель,Износ датчиков/катушек,150,210,310,22,5,0.44,360
Dodge,Caravan,3,1996-2000,электрика,Сбои BCM/TIPM,120,180,260,20,4,0.44,360
Dodge,Caravan,3,1996-2000,трансмиссия,4AT — износ гидроблока,320,450,680,18,8,0.44,360
Dodge,Caravan,3,1996-2000,охлаждение,Неисправность радиатора/помпы,110,160,230,20,4,0.44,360
Dodge,Caravan,3,1996-2000,тормоза,Износ передних дисков,70,100,150,28,3,0.44,360
Dodge,Caravan,4,2001-2007,подвеска,Износ передних рычагов,170,250,380,35,4,0.43,380
Dodge,Caravan,4,2001-2007,подвеска,Износ задних амортизаторов,150,210,310,30,4,0.43,380
Dodge,Caravan,4,2001-2007,двигатель,3.3/3.8 — течи масла/сальников,190,270,400,28,6,0.43,380
Dodge,Caravan,4,2001-2007,двигатель,Износ датчиков/катушек,160,230,330,22,5,0.43,380
Dodge,Caravan,4,2001-2007,электрика,Сбои TIPM/BCM,130,190,280,20,4,0.43,380
Dodge,Caravan,4,2001-2007,трансмиссия,4AT — износ гидроблока,340,480,720,18,8,0.43,380
Dodge,Caravan,4,2001-2007,охлаждение,Неисправность радиатора/помпы,120,170,240,20,4,0.43,380
Dodge,Caravan,4,2001-2007,тормоза,Износ передних дисков,70,100,150,28,3,0.43,380
Dodge,Caravan,5,2008-2020,подвеска,Износ передних рычагов,190,280,420,35,4,0.41,420
Dodge,Caravan,5,2008-2020,подвеска,Износ задних амортизаторов,160,230,340,30,4,0.41,420
Dodge,Caravan,5,2008-2020,двигатель,3.6 Pentastar — износ VVT,260,380,560,25,7,0.41,420
Dodge,Caravan,5,2008-2020,двигатель,Течь масла по прокладкам/сальникам,180,260,380,28,6,0.41,420
Dodge,Caravan,5,2008-2020,электрика,Сбои TIPM,150,220,330,20,8,0.41,420
Dodge,Caravan,5,2008-2020,трансмиссия,6AT — износ гидроблока,380,520,780,18,8,0.41,420
Dodge,Caravan,5,2008-2020,охлаждение,Неисправность термостата/помпы,130,180,260,20,4,0.41,420
Dodge,Caravan,5,2008-2020,тормоза,Износ передних дисков,80,120,170,28,3,0.41,420
Dodge,Challenger,3,2008-2010,подвеска,Износ передних рычагов,240,360,520,32,5,0.51,520
Dodge,Challenger,3,2008-2010,подвеска,Стойки стабилизатора — быстрый износ,110,170,240,38,3,0.51,520
Dodge,Challenger,3,2008-2010,двигатель,5.7 HEMI — износ MDS,360,520,760,25,8,0.51,520
Dodge,Challenger,3,2008-2010,двигатель,Течь масла по прокладкам/сальникам,170,240,350,28,6,0.51,520
Dodge,Challenger,3,2008-2010,электрика,Сбои TIPM/BCM,180,260,380,20,8,0.51,520
Dodge,Challenger,3,2008-2010,трансмиссия,5AT — износ гидроблока,380,560,820,18,8,0.51,520
Dodge,Challenger,3,2008-2010,охлаждение,Неисправность термостата/помпы,140,200,300,20,4,0.51,520
Dodge,Challenger,3,2008-2010,тормоза,Износ передних дисков,100,150,220,30,3,0.51,520
Dodge,Challenger,3 рестайлинг,2010-2014,подвеска,Износ передних рычагов,250,370,540,32,5,0.52,540
Dodge,Challenger,3 рестайлинг,2010-2014,подвеска,Стойки стабилизатора — быстрый износ,120,180,260,38,3,0.52,540
Dodge,Challenger,3 рестайлинг,2010-2014,двигатель,5.7/6.4 HEMI — износ MDS,380,560,820,25,8,0.52,540
Dodge,Challenger,3 рестайлинг,2010-2014,двигатель,Течь масла по прокладкам/сальникам,180,260,380,28,6,0.52,540
Dodge,Challenger,3 рестайлинг,2010-2014,электрика,Сбои TIPM/BCM,200,300,440,20,8,0.52,540
Dodge,Challenger,3 рестайлинг,2010-2014,трансмиссия,5AT/8AT — износ гидроблока,420,620,900,18,8,0.52,540
Dodge,Challenger,3 рестайлинг,2010-2014,охлаждение,Неисправность термостата/помпы,150,220,320,20,4,0.52,540
Dodge,Challenger,3 рестайлинг,2010-2014,тормоза,Износ передних дисков,110,160,240,30,3,0.52,540
Dodge,Challenger,3 2-й рестайлинг,2014-2023,подвеска,Износ передних рычагов,270,400,580,32,5,0.53,580
Dodge,Challenger,3 2-й рестайлинг,2014-2023,подвеска,Стойки стабилизатора — быстрый износ,130,190,280,38,3,0.53,580
