brand,model,generation,years,unit_type,issue_description,cost_min_usd,cost_mean_usd,cost_max_usd,issue_probability_pct,issue_price_impact_pct,model_risk_score,generation_avg_cost_usd
Fiat,Brava,1,1995-2001,подвеска,Износ передних рычагов,90,140,210,36,4,0.34,210
Fiat,Brava,1,1995-2001,подвеска,Стойки стабилизатора — быстрый износ,40,70,110,42,3,0.34,210
Fiat,Brava,1,1995-2001,двигатель,1.4/1.6/1.8 — течи масла,110,160,240,30,6,0.34,210
Fiat,Brava,1,1995-2001,двигатель,Износ датчиков/катушек,70,110,160,24,5,0.34,210
Fiat,Brava,1,1995-2001,электрика,Сбои проводки/реле,60,90,140,22,4,0.34,210
Fiat,Brava,1,1995-2001,трансмиссия,5MT — износ сцепления,120,180,260,20,7,0.34,210
Fiat,Brava,1,1995-2001,охлаждение,Неисправность радиатора/помпы,60,100,150,20,4,0.34,210
Fiat,Brava,1,1995-2001,тормоза,Износ передних дисков,40,70,110,32,3,0.34,210
Fiat,Bravo,1,1995-2001,подвеска,Износ передних рычагов,90,150,220,36,4,0.35,220
Fiat,Bravo,1,1995-2001,подвеска,Стойки стабилизатора — быстрый износ,50,80,120,42,3,0.35,220
Fiat,Bravo,1,1995-2001,двигатель,1.4/1.6/1.8 — течи масла,120,170,250,30,6,0.35,220
Fiat,Bravo,1,1995-2001,двигатель,Износ датчиков/катушек,80,120,170,24,5,0.35,220
Fiat,Bravo,1,1995-2001,электрика,Сбои проводки/реле,70,100,150,22,4,0.35,220
Fiat,Bravo,1,1995-2001,трансмиссия,5MT — износ сцепления,130,190,280,20,7,0.35,220
Fiat,Bravo,1,1995-2001,охлаждение,Неисправность радиатора/помпы,60,100,150,20,4,0.35,220
Fiat,Bravo,1,1995-2001,тормоза,Износ передних дисков,40,70,110,32,3,0.35,220
Fiat,Bravo,2,2007-2014,подвеска,Износ передних рычагов,140,210,310,34,4,0.39,310
Fiat,Bravo,2,2007-2014,подвеска,Стойки стабилизатора — быстрый износ,70,110,160,40,3,0.39,310
Fiat,Bravo,2,2007-2014,двигатель,1.4 T‑Jet/Multiair — течи масла,160,230,340,28,6,0.39,310
Fiat,Bravo,2,2007-2014,двигатель,Износ датчиков/катушек,100,150,220,22,5,0.39,310
Fiat,Bravo,2,2007-2014,электрика,Сбои BCM/датчиков,90,140,210,20,4,0.39,310
Fiat,Bravo,2,2007-2014,трансмиссия,6MT — износ сцепления,180,260,380,18,7,0.39,310
Fiat,Bravo,2,2007-2014,охлаждение,Неисправность термостата/помпы,80,130,190,20,4,0.39,310
Fiat,Bravo,2,2007-2014,тормоза,Износ передних дисков,60,100,150,30,3,0.39,310
Fiat,Doblo,1,2000-2005,подвеска,Износ передних рычагов,110,170,250,36,4,0.37,250
Fiat,Doblo,1,2000-2005,подвеска,Стойки стабилизатора — быстрый износ,60,100,150,42,3,0.37,250
Fiat,Doblo,1,2000-2005,двигатель,1.2/1.6/1.9 — течи масла,130,190,280,30,6,0.37,250
Fiat,Doblo,1,2000-2005,двигатель,Износ датчиков/катушек,80,130,190,24,5,0.37,250
Fiat,Doblo,1,2000-2005,электрика,Сбои проводки/реле,70,110,160,22,4,0.37,250
Fiat,Doblo,1,2000-2005,трансмиссия,5MT — износ сцепления,150,210,320,20,7,0.37,250
Fiat,Doblo,1,2000-2005,охлаждение,Неисправность радиатора/помпы,70,110,170,20,4,0.37,250
Fiat,Doblo,1,2000-2005,тормоза,Износ передних дисков,40,70,110,32,3,0.37,250
Fiat,Doblo,1 рестайлинг,2005-2009,подвеска,Износ передних рычагов,120,180,270,36,4,0.38,270
Fiat,Doblo,1 рестайлинг,2005-2009,подвеска,Стойки стабилизатора — быстрый износ,70,110,160,42,3,0.38,270
Fiat,Doblo,1 рестайлинг,2005-2009,двигатель,1.3/1.9 JTD — течи масла,150,210,310,30,6,0.38,270
Fiat,Doblo,1 рестайлинг,2005-2009,двигатель,Износ датчиков/катушек,90,140,200,24,5,0.38,270
Fiat,Doblo,1 рестайлинг,2005-2009,электрика,Сбои BCM/датчиков,80,130,190,22,4,0.38,270
Fiat,Doblo,1 рестайлинг,2005-2009,трансмиссия,5MT — износ сцепления,160,230,340,20,7,0.38,270
Fiat,Doblo,1 рестайлинг,2005-2009,охлаждение,Неисправность термостата/помпы,80,120,180,20,4,0.38,270
Fiat,Doblo,1 рестайлинг,2005-2009,тормоза,Износ передних дисков,50,80,120,32,3,0.38,270
Fiat,Doblo,2,2010-2015,подвеска,Износ передних рычагов,150,220,330,34,4,0.41,330
Fiat,Doblo,2,2010-2015,подвеска,Стойки стабилизатора — быстрый износ,80,130,190,40,3,0.41,330
Fiat,Doblo,2,2010-2015,двигатель,1.3/1.6/2.0 Multijet — течи масла,170,240,350,28,6,0.41,330
Fiat,Doblo,2,2010-2015,двигатель,Износ датчиков/катушек,100,150,220,22,5,0.41,330
Fiat,Doblo,2,2010-2015,электрика,Сбои BCM/датчиков,90,140,210,20,4,0.41,330
Fiat,Doblo,2,2010-2015,трансмиссия,6MT — износ сцепления,180,260,380,18,7,0.41,330
Fiat,Doblo,2,2010-2015,охлаждение,Неисправность термостата/помпы,90,140,210,20,4,0.41,330
Fiat,Doblo,2,2010-2015,тормоза,Износ передних дисков,60,100,150,30,3,0.41,330
Fiat,Doblo,2 рестайлинг,2015-2022,подвеска,Износ передних рычагов,160,240,360,34,4,0.42,360
Fiat,Doblo,2 рестайлинг,2015-2022,подвеска,Стойки стабилизатора — быстрый износ,90,140,210,40,3,0.42,360
Fiat,Doblo,2 рестайлинг,2015-2022,двигатель,1.3/1.6 Multijet — течи масла,180,260,380,28,6,0.42,360
Fiat,Doblo,2 рестайлинг,2015-2022,двигатель,Износ датчиков/катушек,110,160,230,22,5,0.42,360
Fiat,Doblo,2 рестайлинг,2015-2022,электрика,Сбои BCM/датчиков,100,150,230,20,4,0.42,360
Fiat,Doblo,2 рестайлинг,2015-2022,трансмиссия,6MT — износ сцепления,190,280,400,18,7,0.42,360
Fiat,Doblo,2 рестайлинг,2015-2022,охлаждение,Неисправность термостата/помпы,100,150,220,20,4,0.42,360
Fiat,Doblo,2 рестайлинг,2015-2022,тормоза,Износ передних дисков,70,110,160,30,3,0.42,360
Fiat,Grande Punto,1,2005-2009,подвеска,Износ передних рычагов,120,180,260,34,4,0.38,260
Fiat,Grande Punto,1,2005-2009,подвеска,Стойки стабилизатора — быстрый износ,60,100,150,40,3,0.38,260
Fiat,Grande Punto,1,2005-2009,двигатель,1.2/1.4/1.3 MJ — течи масла,130,190,280,28,6,0.38,260
Fiat,Grande Punto,1,2005-2009,двигатель,Износ датчиков/катушек,80,130,190,22,5,0.38,260
Fiat,Grande Punto,1,2005-2009,электрика,Сбои BCM/датчиков,70,120,180,20,4,0.38,260
Fiat,Grande Punto,1,2005-2009,трансмиссия,5MT — износ сцепления,150,220,330,18,7,0.38,260
Fiat,Grande Punto,1,2005-2009,охлаждение,Неисправность термостата/помпы,70,110,170,20,4,0.38,260
Fiat,Grande Punto,1,2005-2009,тормоза,Износ передних дисков,50,80,120,30,3,0.38,260
Fiat,Grande Punto,1 рестайлинг,2009-2018,подвеска,Износ передних рычагов,130,200,290,34,4,0.39,290
Fiat,Grande Punto,1 рестайлинг,2009-2018,подвеска,Стойки стабилизатора — быстрый износ,70,110,160,40,3,0.39,290
Fiat,Grande Punto,1 рестайлинг,2009-2018,двигатель,1.3/1.4 Multiair — течи масла,150,220,330,28,6,0.39,290
Fiat,Grande Punto,1 рестайлинг,2009-2018,двигатель,Износ датчиков/катушек,90,140,210,22,5,0.39,290
Fiat,Grande Punto,1 рестайлинг,2009-2018,электрика,Сбои BCM/датчиков,80,130,200,20,4,0.39,290
Fiat,Grande Punto,1 рестайлинг,2009-2018,трансмиссия,5MT/6MT — износ сцепления,170,250,360,18,7,0.39,290
