brand,model,generation,years,unit_type,issue_description,cost_min_usd,cost_mean_usd,cost_max_usd,issue_probability_pct,issue_price_impact_pct,model_risk_score,generation_avg_cost_usd
Ford,Bronco Sport,1,2020-2024,подвеска,Износ передних сайлентблоков,180,260,380,22,4,0.41,380
Ford,Bronco Sport,1,2020-2024,подвеска,Стойки стабилизатора — быстрый износ,90,140,210,28,3,0.41,380
Ford,Bronco Sport,1,2020-2024,двигатель,1.5/2.0 EcoBoost — течи масла,220,320,480,18,7,0.41,380
Ford,Bronco Sport,1,2020-2024,двигатель,Износ датчиков/соленоидов,140,200,300,16,5,0.41,380
Ford,Bronco Sport,1,2020-2024,электрика,Сбои модулей ABS/BCM,120,180,260,14,4,0.41,380
Ford,Bronco Sport,1,2020-2024,трансмиссия,8AT — рывки/износ соленоидов,260,380,560,12,8,0.41,380
Ford,Bronco Sport,1,2020-2024,охлаждение,Неисправность термостата/помпы,110,170,250,14,4,0.41,380
Ford,Bronco Sport,1,2020-2024,тормоза,Износ передних дисков,90,140,210,26,3,0.41,380
Ford,C-MAX,1,2003-2010,подвеска,Износ передних рычагов,120,180,260,34,4,0.37,260
Ford,C-MAX,1,2003-2010,подвеска,Стойки стабилизатора — быстрый износ,60,100,150,40,3,0.37,260
Ford,C-MAX,1,2003-2010,двигатель,1.6/1.8/2.0 Duratec — течи масла,140,200,300,28,6,0.37,260
Ford,C-MAX,1,2003-2010,двигатель,Износ датчиков/катушек,80,130,190,22,5,0.37,260
Ford,C-MAX,1,2003-2010,электрика,Сбои GEM/BCM модулей,70,120,180,20,4,0.37,260
Ford,C-MAX,1,2003-2010,трансмиссия,5MT/6MT — износ сцепления,150,220,330,18,7,0.37,260
Ford,C-MAX,1,2003-2010,охлаждение,Неисправность термостата/помпы,70,110,170,20,4,0.37,260
Ford,C-MAX,1,2003-2010,тормоза,Износ передних дисков,50,80,120,30,3,0.37,260
Ford,C-MAX,2,2010-2019,подвеска,Износ передних рычагов,140,210,310,34,4,0.40,310
Ford,C-MAX,2,2010-2019,подвеска,Стойки стабилизатора — быстрый износ,70,110,160,40,3,0.40,310
Ford,C-MAX,2,2010-2019,двигатель,1.0/1.6/2.0 EcoBoost — течи масла,160,230,340,28,6,0.40,310
Ford,C-MAX,2,2010-2019,двигатель,Износ датчиков/соленоидов,100,150,220,22,5,0.40,310
Ford,C-MAX,2,2010-2019,электрика,Сбои BCM/ABS модулей,90,140,210,20,4,0.40,310
Ford,C-MAX,2,2010-2019,трансмиссия,6DCT250 — износ сцеплений/мехатроника,260,380,560,16,8,0.40,310
Ford,C-MAX,2,2010-2019,охлаждение,Неисправность термостата/помпы,80,130,190,20,4,0.40,310
Ford,C-MAX,2,2010-2019,тормоза,Износ передних дисков,60,100,150,30,3,0.40,310
Ford,EcoSport,1,2003-2012,подвеска,Износ передних рычагов,90,140,210,34,4,0.34,210
Ford,EcoSport,1,2003-2012,подвеска,Стойки стабилизатора — быстрый износ,50,80,120,40,3,0.34,210
Ford,EcoSport,1,2003-2012,двигатель,1.4/1.6/2.0 — течи масла,110,160,230,28,6,0.34,210
Ford,EcoSport,1,2003-2012,двигатель,Износ датчиков/катушек,70,110,160,22,5,0.34,210
Ford,EcoSport,1,2003-2012,электрика,Сбои BCM/датчиков,60,100,150,20,4,0.34,210
Ford,EcoSport,1,2003-2012,трансмиссия,5MT — износ сцепления,130,190,280,18,7,0.34,210
Ford,EcoSport,1,2003-2012,охлаждение,Неисправность термостата/помпы,60,100,150,20,4,0.34,210
Ford,EcoSport,1,2003-2012,тормоза,Износ передних дисков,40,70,110,30,3,0.34,210
Ford,EcoSport,2,2012-2024,подвеска,Износ передних рычагов,120,180,260,34,4,0.37,260
Ford,EcoSport,2,2012-2024,подвеска,Стойки стабилизатора — быстрый износ,60,100,150,40,3,0.37,260
Ford,EcoSport,2,2012-2024,двигатель,1.0/1.5/2.0 — течи масла,140,200,300,28,6,0.37,260
Ford,EcoSport,2,2012-2024,двигатель,Износ датчиков/соленоидов,90,140,210,22,5,0.37,260
Ford,EcoSport,2,2012-2024,электрика,Сбои BCM/ABS модулей,80,130,200,20,4,0.37,260
Ford,EcoSport,2,2012-2024,трансмиссия,6DCT250 — износ сцеплений/мехатроника,260,380,560,16,8,0.37,260
Ford,EcoSport,2,2012-2024,охлаждение,Неисправность термостата/помпы,70,120,180,20,4,0.37,260
Ford,EcoSport,2,2012-2024,тормоза,Износ передних дисков,50,80,120,30,3,0.37,260
Ford,Edge,1,2006-2014,подвеска,Износ передних рычагов,160,230,340,34,4,0.40,340
Ford,Edge,1,2006-2014,подвеска,Стойки стабилизатора — быстрый износ,80,130,190,40,3,0.40,340
Ford,Edge,1,2006-2014,двигатель,3.5/3.7 V6 — течи масла,180,260,380,28,6,0.40,340
Ford,Edge,1,2006-2014,двигатель,Износ датчиков/соленоидов,110,160,230,22,5,0.40,340
Ford,Edge,1,2006-2014,электрика,Сбои BCM/ABS модулей,100,150,220,20,4,0.40,340
Ford,Edge,1,2006-2014,трансмиссия,6AT — износ соленоидов/гидроблока,260,380,560,18,8,0.40,340
Ford,Edge,1,2006-2014,охлаждение,Неисправность термостата/помпы,90,140,210,20,4,0.40,340
Ford,Edge,1,2006-2014,тормоза,Износ передних дисков,70,110,160,30,3,0.40,340
Ford,Edge,2,2014-2018,подвеска,Износ передних рычагов,180,260,380,34,4,0.42,380
Ford,Edge,2,2014-2018,подвеска,Стойки стабилизатора — быстрый износ,90,140,210,40,3,0.42,380
Ford,Edge,2,2014-2018,двигатель,2.0/2.7 EcoBoost — течи масла,200,290,430,28,6,0.42,380
Ford,Edge,2,2014-2018,двигатель,Износ датчиков/соленоидов,120,170,250,22,5,0.42,380
Ford,Edge,2,2014-2018,электрика,Сбои BCM/ABS модулей,110,160,240,20,4,0.42,380
Ford,Edge,2,2014-2018,трансмиссия,6AT/8AT — износ соленоидов,280,400,600,18,8,0.42,380
Ford,Edge,2,2014-2018,охлаждение,Неисправность термостата/помпы,100,150,220,20,4,0.42,380
Ford,Edge,2,2014-2018,тормоза,Износ передних дисков,80,120,170,30,3,0.42,380
Ford,Edge,2 рестайлинг,2018-2024,подвеска,Износ передних рычагов,200,290,430,34,4,0.44,430
Ford,Edge,2 рестайлинг,2018-2024,подвеска,Стойки стабилизатора — быстрый износ,100,150,230,40,3,0.44,430
Ford,Edge,2 рестайлинг,2018-2024,двигатель,2.0 EcoBoost — течи масла,220,320,480,28,6,0.44,430
Ford,Edge,2 рестайлинг,2018-2024,двигатель,Износ датчиков/соленоидов,130,190,270,22,5,0.44,430
Ford,Edge,2 рестайлинг,2018-2024,электрика,Сбои BCM/ABS модулей,120,180,260,20,4,0.44,430
Ford,Edge,2 рестайлинг,2018-2024,трансмиссия,8AT — износ соленоидов/гидроблока,300,430,650,18,8,0.44,430
Ford,Edge,2 рестайлинг,2018-2024,охлаждение,Неисправность термостата/помпы,110,160,240,20,4,0.44,430
Ford,Edge,2 рестайлинг,2018-2024,тормоза,Износ передних дисков,90,130,190,30,3,0.44,430
Ford,Escape,1,2000-2007,подвеска,Износ передних рычагов,110,170,250,36,4,0.36,250
Ford,Escape,1,2000-2007,подвеска,Стойки стабилизатора — быстрый износ,60,100,150,42,3,0.36,250
Ford,Escape,1,2000-2007,двигатель,2.0/3.0 V6 — течи масла,140,200,300,30,6,0.36,250
Ford,Escape,1,2000-2007,двигатель,Износ датчиков/соленоидов,80,130,190,24,5,0.36,250
Ford,Escape,1,2000-2007,электрика,Сбои BCM/датчиков,70,120,180,22,4,0.36,250
Ford,Escape,1,2000-2007,трансмиссия,4AT — износ соленоидов/гидроблока,180,260,380,20,7,0.36,250
Ford,Escape,1,2000-2007,охлаждение,Неисправность радиатора/помпы,70,110,170,20,4,0.36,250
Ford,Escape,1,2000-2007,тормоза,Износ передних дисков,50,80,120,32,3,0.36,250
Ford,Escape,2,2007-2012,подвеска,Износ передних рычагов,130,190,270,34,4,0.38,270
Ford,Escape,2,2007-2012,подвеска,Стойки стабилизатора — быстрый износ,70,110,160,40,3,0.38,270
Ford,Escape,2,2007-2012,двигатель,2.3/3.0 — течи масла,150,210,310,28,6,0.38,270
Ford,Escape,2,2007-2012,двигатель,Износ датчиков/соленоидов,90,140,210,22,5,0.38,270
Ford,Escape,2,2007-2012,электрика,Сбои BCM/ABS модулей,80,130,200,20,4,0.38,270
Ford,Escape,2,2007-2012,трансмиссия,4AT/6AT — износ соленоидов,200,300,450,18,8,0.38,270
Ford,Escape,2,2007-2012,охлаждение,Неисправность термостата/помпы,80,120,180,20,4,0.38,270
Ford,Escape,2,2007-2012,тормоза,Износ передних дисков,60,90,140,30,3,0.38,270
Ford,Escape,3,2012-2019,подвеска,Износ передних рычагов,150,220,330,34,4,0.40,330
Ford,Escape,3,2012-2019,подвеска,Стойки стабилизатора — быстрый износ,80,130,190,40,3,0.40,330
Ford,Escape,3,2012-2019,двигатель,1.6/2.0 EcoBoost — течи масла,170,240,350,28,6,0.40,330
Ford,Escape,3,2012-2019,двигатель,Износ датчиков/соленоидов,100,150,220,22,5,0.40,330
Ford,Escape,3,2012-2019,электрика,Сбои BCM/ABS модулей,90,140,210,20,4,0.40,330
Ford,Escape,3,2012-2019,трансмиссия,6AT — износ соленоидов/гидроблока,240,360,520,18,8,0.40,330
Ford,Escape,3,2012-2019,охлаждение,Неисправность термостата/помпы,90,140,210,20,4,0.40,330
Ford,Escape,3,2012-2019,тормоза,Износ передних дисков,70,110,160,30,3,0.40,330
Ford,Escape,4,2019-2024,подвеска,Износ передних рычагов,170,250,360,34,4,0.42,360
Ford,Escape,4,2019-2024,подвеска,Стойки стабилизатора — быстрый износ,90,140,210,40,3,0.42,360
Ford,Escape,4,2019-2024,двигатель,1.5/2.0 EcoBoost — течи масла,190,270,390,28,6,0.42,360
Ford,Escape,4,2019-2024,двигатель,Износ датчиков/соленоидов,110,160,240,22,5,0.42,360
Ford,Escape,4,2019-2024,электрика,Сбои BCM/ABS модулей,100,150,230,20,4,0.42,360
Ford,Escape,4,2019-2024,трансмиссия,8AT — износ соленоидов/гидроблока,280,400,600,18,8,0.42,360
Ford,Escape,4,2019-2024,охлаждение,Неисправность термостата/помпы,100,150,220,20,4,0.42,360
Ford,Escape,4,2019-2024,тормоза,Износ передних дисков,80,120,170,30,3,0.42,360
Ford,Escort,2 рестайлинг,1977-1980,подвеска,Износ передних рычагов,60,100,150,40,4,0.30,150
