brand,model,generation,years,unit_type,issue_description,cost_min_usd,cost_mean_usd,cost_max_usd,issue_probability_pct,issue_price_impact_pct,model_risk_score,generation_avg_cost_usd
Honda,Accord,5,1993-1997,подвеска,Износ сайлентблоков рычагов,60,95,150,42,4,0.29,150
Honda,Accord,5,1993-1997,подвеска,Стойки стабилизатора — быстрый износ,30,50,80,48,3,0.29,150
Honda,Accord,5,1993-1997,двигатель,F-серия — течи масла/сальников,90,140,210,36,6,0.29,150
Honda,Accord,5,1993-1997,двигатель,Износ датчиков/катушек,45,75,120,30,5,0.29,150
Honda,Accord,5,1993-1997,электрика,Сбои проводки/реле,40,65,100,26,4,0.29,150
Honda,Accord,5,1993-1997,трансмиссия,4AT — износ соленоидов,120,180,260,22,7,0.29,150
Honda,Accord,5,1993-1997,охлаждение,Неисправность радиатора/помпы,40,70,110,24,4,0.29,150
Honda,Accord,5,1993-1997,тормоза,Износ передних дисков,30,50,80,38,3,0.29,150
Honda,Accord,6,1997-2002,подвеска,Износ рычагов/сайлентблоков,70,110,160,44,4,0.31,160
Honda,Accord,6,1997-2002,подвеска,Стойки стабилизатора — быстрый износ,35,55,85,50,3,0.31,160
Honda,Accord,6,1997-2002,двигатель,F/H — течи масла/ГБЦ,100,150,230,36,6,0.31,160
Honda,Accord,6,1997-2002,двигатель,Износ датчиков/катушек,50,80,130,30,5,0.31,160
Honda,Accord,6,1997-2002,электрика,Сбои ABS/реле,45,70,115,26,4,0.31,160
Honda,Accord,6,1997-2002,трансмиссия,4AT — износ соленоидов/гидроблока,130,190,270,22,7,0.31,160
Honda,Accord,6,1997-2002,охлаждение,Неисправность радиатора/помпы,45,75,120,24,4,0.31,160
Honda,Accord,6,1997-2002,тормоза,Износ передних дисков,35,55,90,38,3,0.31,160
Honda,Accord,7,2002-2008,подвеска,Износ рычагов/сайлентблоков,90,140,210,42,4,0.34,210
Honda,Accord,7,2002-2008,подвеска,Стойки стабилизатора — быстрый износ,45,70,110,48,3,0.34,210
Honda,Accord,7,2002-2008,двигатель,K20/K24 — расход масла/ВТЕК,140,200,300,34,6,0.34,210
Honda,Accord,7,2002-2008,двигатель,Износ датчиков/катушек,60,95,150,28,5,0.34,210
Honda,Accord,7,2002-2008,электрика,Сбои ABS/VSA,55,90,140,26,4,0.34,210
Honda,Accord,7,2002-2008,трансмиссия,5AT — износ гидроблока,180,260,380,22,7,0.34,210
Honda,Accord,7,2002-2008,охлаждение,Неисправность термостата/помпы,55,85,130,24,4,0.34,210
Honda,Accord,7,2002-2008,тормоза,Износ передних дисков,40,65,100,36,3,0.34,210
Honda,Accord,8,2008-2013,подвеска,Износ рычагов/сайлентблоков,110,165,240,40,4,0.36,240
Honda,Accord,8,2008-2013,подвеска,Стойки стабилизатора — быстрый износ,55,85,130,46,3,0.36,240
Honda,Accord,8,2008-2013,двигатель,K24 — расход масла/ВТЕК,160,230,340,32,6,0.36,240
Honda,Accord,8,2008-2013,двигатель,Износ датчиков/катушек,70,110,165,26,5,0.36,240
Honda,Accord,8,2008-2013,электрика,Сбои ABS/VSA/датчиков,65,105,160,24,4,0.36,240
Honda,Accord,8,2008-2013,трансмиссия,5AT — износ соленоидов/гидроблока,190,270,390,20,7,0.36,240
Honda,Accord,8,2008-2013,охлаждение,Неисправность термостата/помпы,60,90,140,22,4,0.36,240
Honda,Accord,8,2008-2013,тормоза,Износ передних дисков,45,70,110,34,3,0.36,240
Honda,Accord,9,2013-2017,подвеска,Износ рычагов/сайлентблоков,120,180,260,38,4,0.37,260
Honda,Accord,9,2013-2017,подвеска,Стойки стабилизатора — быстрый износ,60,90,135,44,3,0.37,260
Honda,Accord,9,2013-2017,двигатель,K24/2.4 EarthDreams — расход масла,170,240,360,32,6,0.37,260
Honda,Accord,9,2013-2017,двигатель,Износ датчиков/катушек,75,115,170,26,5,0.37,260
Honda,Accord,9,2013-2017,электрика,Сбои ADAS/ABS/VSA,70,115,180,24,4,0.37,260
Honda,Accord,9,2013-2017,трансмиссия,CVT — износ ремня/гидроблока,220,310,450,20,7,0.37,260
Honda,Accord,9,2013-2017,охлаждение,Неисправность термоблока/помпы,65,100,150,22,4,0.37,260
Honda,Accord,9,2013-2017,тормоза,Износ передних дисков,50,75,115,32,3,0.37,260
Honda,Accord,10,2017-2022,подвеска,Износ рычагов/сайлентблоков,130,195,280,36,4,0.38,280
Honda,Accord,10,2017-2022,подвеска,Стойки стабилизатора — быстрый износ,65,95,145,42,3,0.38,280
Honda,Accord,10,2017-2022,двигатель,1.5T/2.0T — детонация/масложор,180,260,380,30,7,0.38,280
Honda,Accord,10,2017-2022,двигатель,Износ датчиков/турбины,85,130,200,26,5,0.38,280
Honda,Accord,10,2017-2022,электрика,Сбои ADAS/датчиков,75,120,190,24,4,0.38,280
Honda,Accord,10,2017-2022,трансмиссия,CVT/10AT — износ узлов,240,330,480,20,7,0.38,280
