brand,model,generation,years,unit_type,issue_description,cost_min_usd,cost_mean_usd,cost_max_usd,issue_probability_pct,issue_price_impact_pct,model_risk_score,generation_avg_cost_usd
Hyundai,Accent,1,1994-1999,подвеска,Износ сайлентблоков/рычагов,40,70,110,50,4,0.25,110
Hyundai,Accent,1,1994-1999,подвеска,Стойки стабилизатора — быстрый износ,20,35,55,54,3,0.25,110
Hyundai,Accent,1,1994-1999,двигатель,1.3/1.5 — течи масла/ГБЦ,70,110,170,38,6,0.25,110
Hyundai,Accent,1,1994-1999,двигатель,Износ датчиков/катушек,30,50,80,30,5,0.25,110
Hyundai,Accent,1,1994-1999,электрика,Сбои реле/ABS,25,45,70,26,4,0.25,110
Hyundai,Accent,1,1994-1999,трансмиссия,4AT — износ соленоидов,120,180,260,22,7,0.25,110
Hyundai,Accent,1,1994-1999,охлаждение,Неисправность радиатора/помпы,30,55,85,24,4,0.25,110
Hyundai,Accent,1,1994-1999,тормоза,Износ передних дисков,20,35,55,38,3,0.25,110
Hyundai,Accent,2,1999-2005,подвеска,Износ рычагов/сайлентблоков,45,75,120,48,4,0.27,120
Hyundai,Accent,2,1999-2005,подвеска,Стойки стабилизатора — быстрый износ,25,40,65,52,3,0.27,120
Hyundai,Accent,2,1999-2005,двигатель,1.4/1.6 — течи масла/катушки,75,115,175,36,6,0.27,120
Hyundai,Accent,2,1999-2005,двигатель,Износ датчиков/дросселя,35,55,90,30,5,0.27,120
Hyundai,Accent,2,1999-2005,электрика,Сбои ABS/датчиков,30,50,80,26,4,0.27,120
Hyundai,Accent,2,1999-2005,трансмиссия,4AT — износ гидроблока,130,190,270,22,7,0.27,120
Hyundai,Accent,2,1999-2005,охлаждение,Неисправность термостата/помпы,35,60,95,24,4,0.27,120
Hyundai,Accent,2,1999-2005,тормоза,Износ передних дисков,25,40,65,38,3,0.27,120
Hyundai,Accent,3,2005-2010,подвеска,Износ рычагов/сайлентблоков,55,90,140,46,4,0.29,140
Hyundai,Accent,3,2005-2010,подвеска,Стойки стабилизатора — быстрый износ,30,50,80,50,3,0.29,140
Hyundai,Accent,3,2005-2010,двигатель,1.4/1.6 — масложор/катушки,85,130,200,36,6,0.29,140
Hyundai,Accent,3,2005-2010,двигатель,Износ датчиков/дросселя,40,65,100,30,5,0.29,140
Hyundai,Accent,3,2005-2010,электрика,Сбои ABS/датчиков,35,55,90,26,4,0.29,140
Hyundai,Accent,3,2005-2010,трансмиссия,4AT — износ соленоидов,150,220,330,22,7,0.29,140
Hyundai,Accent,3,2005-2010,охлаждение,Неисправность радиатора/помпы,40,65,100,24,4,0.29,140
Hyundai,Accent,3,2005-2010,тормоза,Износ передних дисков,30,50,80,38,3,0.29,140
Hyundai,Accent,4,2010-2017,подвеска,Износ рычагов/сайлентблоков,65,105,160,44,4,0.31,160
Hyundai,Accent,4,2010-2017,подвеска,Стойки стабилизатора — быстрый износ,35,55,85,48,3,0.31,160
Hyundai,Accent,4,2010-2017,двигатель,1.4/1.6 — масложор/цепь,110,165,250,34,7,0.31,160
Hyundai,Accent,4,2010-2017,двигатель,Износ датчиков/катушек,50,80,125,28,5,0.31,160
Hyundai,Accent,4,2010-2017,электрика,Сбои ABS/VSA/датчиков,45,75,115,26,4,0.31,160
Hyundai,Accent,4,2010-2017,трансмиссия,4AT/6AT — износ гидроблока,170,240,350,22,7,0.31,160
Hyundai,Accent,4,2010-2017,охлаждение,Неисправность термостата/помпы,45,70,110,24,4,0.31,160
Hyundai,Accent,4,2010-2017,тормоза,Износ передних дисков,35,55,90,36,3,0.31,160
Hyundai,Accent,5,2017-...,подвеска,Износ рычагов/сайлентблоков,75,120,180,42,4,0.33,180
Hyundai,Accent,5,2017-...,подвеска,Стойки стабилизатора — быстрый износ,40,60,95,46,3,0.33,180
Hyundai,Accent,5,2017-...,двигатель,1.4/1.6 — масложор/охлаждение,120,180,270,32,7,0.33,180
Hyundai,Accent,5,2017-...,двигатель,Износ датчиков/катушек,55,90,140,28,5,0.33,180
Hyundai,Accent,5,2017-...,электрика,Сбои ADAS/датчиков,50,85,135,26,4,0.33,180
Hyundai,Accent,5,2017-...,трансмиссия,6AT/IVT — износ узлов,180,260,380,22,7,0.33,180
Hyundai,Accent,5,2017-...,охлаждение,Неисправность термоблока/помпы,50,80,125,24,4,0.33,180
Hyundai,Accent,5,2017-...,тормоза,Износ передних дисков,35,55,90,34,3,0.33,180
Hyundai,Creta,1,2015-2021,подвеска,Износ передних рычагов/сайлентблоков,70,110,165,46,4,0.31,165
Hyundai,Creta,1,2015-2021,подвеска,Стойки стабилизатора — быстрый износ,35,55,85,50,3,0.31,165
Hyundai,Creta,1,2015-2021,двигатель,1.6/2.0 — масложор/цепь ГРМ,120,175,260,34,7,0.31,165
Hyundai,Creta,1,2015-2021,двигатель,Износ датчиков/катушек,55,85,130,28,5,0.31,165
Hyundai,Creta,1,2015-2021,электрика,Сбои ABS/ESP/датчиков,50,80,125,26,4,0.31,165
Hyundai,Creta,1,2015-2021,трансмиссия,6AT — износ гидроблока/соленоидов,180,250,360,22,7,0.31,165
Hyundai,Creta,1,2015-2021,трансмиссия,6MT — износ сцепления,120,170,240,24,6,0.31,165
Hyundai,Creta,1,2015-2021,охлаждение,Неисправность термостата/помпы,45,75,115,24,4,0.31,165
Hyundai,Creta,1,2015-2021,тормоза,Износ передних дисков,35,55,90,36,3,0.31,165
Hyundai,Creta,2,2021-...,подвеска,Износ рычагов/сайлентблоков,80,125,185,44,4,0.33,185
Hyundai,Creta,2,2021-...,подвеска,Стойки стабилизатора — быстрый износ,40,60,95,48,3,0.33,185
Hyundai,Creta,2,2021-...,двигатель,1.6/2.0 — масложор/охлаждение,130,190,280,32,7,0.33,185
Hyundai,Creta,2,2021-...,двигатель,Износ датчиков/катушек,60,95,150,28,5,0.33,185
Hyundai,Creta,2,2021-...,электрика,Сбои ADAS/радаров/камер,55,90,140,26,4,0.33,185
Hyundai,Creta,2,2021-...,трансмиссия,6AT/IVT — износ узлов,190,260,380,22,7,0.33,185
Hyundai,Creta,2,2021-...,охлаждение,Неисправность термоблока/помпы,50,80,125,24,4,0.33,185
Hyundai,Creta,2,2021-...,тормоза,Износ передних дисков,35,55,90,34,3,0.33,185
Hyundai,Elantra,1,1990-1995,подвеска,Износ сайлентблоков/рычагов,40,70,110,50,4,0.25,110
Hyundai,Elantra,1,1990-1995,подвеска,Стойки стабилизатора — быстрый износ,20,35,55,54,3,0.25,110
Hyundai,Elantra,1,1990-1995,двигатель,1.6/1.8 — течи масла/ГБЦ,70,110,170,38,6,0.25,110
Hyundai,Elantra,1,1990-1995,двигатель,Износ датчиков/катушек,30,50,80,30,5,0.25,110
Hyundai,Elantra,1,1990-1995,электрика,Сбои реле/ABS,25,45,70,26,4,0.25,110
Hyundai,Elantra,1,1990-1995,трансмиссия,4AT — износ соленоидов,120,180,260,22,7,0.25,110
Hyundai,Elantra,1,1990-1995,охлаждение,Неисправность радиатора/помпы,30,55,85,24,4,0.25,110
Hyundai,Elantra,1,1990-1995,тормоза,Износ передних дисков,20,35,55,38,3,0.25,110
Hyundai,Elantra,2,1995-2000,подвеска,Износ рычагов/сайлентблоков,45,75,120,48,4,0.27,120
Hyundai,Elantra,2,1995-2000,подвеска,Стойки стабилизатора — быстрый износ,25,40,65,52,3,0.27,120
Hyundai,Elantra,2,1995-2000,двигатель,1.6/1.8 — течи масла/катушки,75,115,175,36,6,0.27,120
Hyundai,Elantra,2,1995-2000,двигатель,Износ датчиков/дросселя,35,55,90,30,5,0.27,120
Hyundai,Elantra,2,1995-2000,электрика,Сбои ABS/датчиков,30,50,80,26,4,0.27,120
Hyundai,Elantra,2,1995-2000,трансмиссия,4AT — износ гидроблока,130,190,270,22,7,0.27,120
Hyundai,Elantra,2,1995-2000,охлаждение,Неисправность термостата/помпы,35,60,95,24,4,0.27,120
Hyundai,Elantra,2,1995-2000,тормоза,Износ передних дисков,25,40,65,38,3,0.27,120
Hyundai,Elantra,3,2000-2006,подвеска,Износ рычагов/сайлентблоков,55,90,140,46,4,0.29,140
Hyundai,Elantra,3,2000-2006,подвеска,Стойки стабилизатора — быстрый износ,30,50,80,50,3,0.29,140
Hyundai,Elantra,3,2000-2006,двигатель,1.6/2.0 — масложор/катушки,85,130,200,36,6,0.29,140
Hyundai,Elantra,3,2000-2006,двигатель,Износ датчиков/дросселя,40,65,100,30,5,0.29,140
Hyundai,Elantra,3,2000-2006,электрика,Сбои ABS/датчиков,35,55,90,26,4,0.29,140
Hyundai,Elantra,3,2000-2006,трансмиссия,4AT — износ соленоидов,150,220,330,22,7,0.29,140
Hyundai,Elantra,3,2000-2006,охлаждение,Неисправность радиатора/помпы,40,65,100,24,4,0.29,140
Hyundai,Elantra,3,2000-2006,тормоза,Износ передних дисков,30,50,80,38,3,0.29,140
Hyundai,Elantra,4,2006-2010,подвеска,Износ рычагов/сайлентблоков,60,100,150,44,4,0.31,150
Hyundai,Elantra,4,2006-2010,подвеска,Стойки стабилизатора — быстрый износ,35,55,85,48,3,0.31,150
Hyundai,Elantra,4,2006-2010,двигатель,1.6/2.0 — масложор/цепь,95,145,220,34,7,0.31,150
Hyundai,Elantra,4,2006-2010,двигатель,Износ датчиков/катушек,45,75,115,28,5,0.31,150
Hyundai,Elantra,4,2006-2010,электрика,Сбои ABS/ESP/датчиков,40,70,110,26,4,0.31,150
Hyundai,Elantra,4,2006-2010,трансмиссия,4AT — износ гидроблока,160,230,340,22,7,0.31,150
Hyundai,Elantra,4,2006-2010,охлаждение,Неисправность термостата/помпы,45,70,110,24,4,0.31,150
Hyundai,Elantra,4,2006-2010,тормоза,Износ передних дисков,30,50,80,36,3,0.31,150
Hyundai,Elantra,5,2010-2015,подвеска,Износ рычагов/сайлентблоков,70,110,165,44,4,0.32,165
Hyundai,Elantra,5,2010-2015,подвеска,Стойки стабилизатора — быстрый износ,35,55,85,48,3,0.32,165
Hyundai,Elantra,5,2010-2015,двигатель,1.6/1.8 — масложор/охлаждение,110,165,250,34,7,0.32,165
