brand,model,generation,years,unit_type,issue_description,cost_min_usd,cost_mean_usd,cost_max_usd,issue_probability_pct,issue_price_impact_pct,model_risk_score,generation_avg_cost_usd
Kia,Carens,1,1999-2002,подвеска,Износ рычагов/сайлентблоков,55,90,140,48,4,0.30,140
Kia,Carens,1,1999-2002,подвеска,Стойки стабилизатора — быстрый износ,30,50,80,52,3,0.30,140
Kia,Carens,1,1999-2002,двигатель,1.8/2.0 — течи масла/катушки,85,130,200,36,6,0.30,140
Kia,Carens,1,1999-2002,двигатель,Износ датчиков/дросселя,40,65,100,30,5,0.30,140
Kia,Carens,1,1999-2002,электрика,Сбои ABS/датчиков,35,55,90,26,4,0.30,140
Kia,Carens,1,1999-2002,трансмиссия,4AT — износ соленоидов,150,220,330,22,7,0.30,140
Kia,Carens,1,1999-2002,трансмиссия,5MT — износ сцепления,110,160,230,24,6,0.30,140
Kia,Carens,1,1999-2002,охлаждение,Неисправность радиатора/помпы,40,65,100,24,4,0.30,140
Kia,Carens,1,1999-2002,тормоза,Износ передних дисков,30,50,80,38,3,0.30,140
Kia,Carens,2,2002-2006,подвеска,Износ рычагов/сайлентблоков,60,100,150,46,4,0.32,150
Kia,Carens,2,2002-2006,подвеска,Стойки стабилизатора — быстрый износ,35,55,85,50,3,0.32,150
Kia,Carens,2,2002-2006,двигатель,2.0/2.0 CRDi — масложор/форсунки,95,145,220,36,6,0.32,150
Kia,Carens,2,2002-2006,двигатель,Износ датчиков/катушек,45,70,110,30,5,0.32,150
Kia,Carens,2,2002-2006,электрика,Сбои ABS/ESP/датчиков,40,70,110,26,4,0.32,150
Kia,Carens,2,2002-2006,трансмиссия,4AT — износ гидроблока,160,230,340,22,7,0.32,150
Kia,Carens,2,2002-2006,трансмиссия,5MT — износ сцепления,120,170,250,24,6,0.32,150
Kia,Carens,2,2002-2006,охлаждение,Неисправность термостата/помпы,45,70,110,24,4,0.32,150
Kia,Carens,2,2002-2006,тормоза,Износ передних дисков,30,50,80,36,3,0.32,150
