brand,model,generation,years,unit_type,issue_description,cost_min_usd,cost_mean_usd,cost_max_usd,issue_probability_pct,issue_price_impact_pct,model_risk_score,generation_avg_cost_usd
Land Rover,Discovery,3,2004-2009,подвеска,Пневма — износ компрессора/подушек,450,650,900,38,7,0.52,900
Land Rover,Discovery,3,2004-2009,подвеска,Рычаги/сайлентблоки — быстрый износ,320,450,650,44,6,0.52,650
Land Rover,Discovery,3,2004-2009,двигатель,TDV6 — проворот вкладышей,900,1400,2000,18,9,0.52,2000
Land Rover,Discovery,3,2004-2009,двигатель,Турбина — износ геометрии,650,900,1300,22,8,0.52,1300
Land Rover,Discovery,3,2004-2009,электрика,Проблемы с блоками BCU/ECU,250,380,550,28,5,0.52,550
Land Rover,Discovery,3,2004-2009,трансмиссия,6HP26 — гидроблок/фрикционы,750,1100,1600,24,8,0.52,1600
Land Rover,Discovery,3,2004-2009,охлаждение,Радиатор/патрубки/термостат,180,260,380,32,4,0.52,380
Land Rover,Discovery,3,2004-2009,тормоза,Передние суппорты/диски,160,240,340,36,3,0.52,340
Land Rover,Discovery,3 рестайлинг,2009-2013,подвеска,Пневма — износ подушек/клапанов,480,700,950,40,7,0.53,950
Land Rover,Discovery,3 рестайлинг,2009-2013,подвеска,Рычаги/сайлентблоки,330,470,680,46,6,0.53,680
Land Rover,Discovery,3 рестайлинг,2009-2013,двигатель,TDV6 — проворот вкладышей,950,1450,2100,20,9,0.53,2100
Land Rover,Discovery,3 рестайлинг,2009-2013,двигатель,Турбина — износ геометрии,680,950,1350,24,8,0.53,1350
Land Rover,Discovery,3 рестайлинг,2009-2013,электрика,Блоки управления/проводка,260,390,560,30,5,0.53,560
Land Rover,Discovery,3 рестайлинг,2009-2013,трансмиссия,6HP26 — гидроблок/фрикционы,780,1150,1650,26,8,0.53,1650
Land Rover,Discovery,3 рестайлинг,2009-2013,охлаждение,Радиатор/патрубки,190,270,390,34,4,0.53,390
Land Rover,Discovery,3 рестайлинг,2009-2013,тормоза,Передние суппорты/диски,170,250,360,38,3,0.53,360
Land Rover,Discovery,4,2013-2017,подвеска,Пневма — подушки/клапана/компрессор,520,760,1050,42,7,0.54,1050
Land Rover,Discovery,4,2013-2017,подвеска,Рычаги/сайлентблоки,350,500,720,48,6,0.54,720
Land Rover,Discovery,4,2013-2017,двигатель,SDV6 — проворот вкладышей,1000,1500,2200,22,9,0.54,2200
Land Rover,Discovery,4,2013-2017,двигатель,Турбина — износ геометрии,700,980,1400,26,8,0.54,1400
Land Rover,Discovery,4,2013-2017,электрика,Блоки управления/датчики,280,420,600,32,5,0.54,600
Land Rover,Discovery,4,2013-2017,трансмиссия,8HP70 — гидроблок/фрикционы,820,1200,1700,28,8,0.54,1700
Land Rover,Discovery,4,2013-2017,охлаждение,Радиатор/термостат/патрубки,200,290,420,36,4,0.54,420
Land Rover,Discovery,4,2013-2017,тормоза,Передние диски/суппорты,180,260,380,40,3,0.54,380
Land Rover,Discovery,5,2017-2024,подвеска,Пневма — подушки/клапана,600,850,1200,44,7,0.55,1200
Land Rover,Discovery,5,2017-2024,подвеска,Рычаги/сайлентблоки,380,540,780,50,6,0.55,780
Land Rover,Discovery,5,2017-2024,двигатель,Ingenium 2.0 — цепь/масложор,850,1250,1750,30,8,0.55,1750
Land Rover,Discovery,5,2017-2024,двигатель,3.0 — турбина/охлаждение,950,1400,2000,26,8,0.55,2000
Land Rover,Discovery,5,2017-2024,электрика,Блоки управления/датчики,300,450,650,34,5,0.55,650
Land Rover,Discovery,5,2017-2024,трансмиссия,8HP — гидроблок/фрикционы,900,1300,1850,30,8,0.55,1850
Land Rover,Discovery,5,2017-2024,охлаждение,Радиатор/термостат,220,320,450,38,4,0.55,450
Land Rover,Discovery,5,2017-2024,тормоза,Передние диски/суппорты,200,280,400,42,3,0.55,400
Land Rover,Discovery Sport,1,2014-2019,подвеска,Пневма/амортизаторы — износ,380,520,750,42,6,0.48,750
Land Rover,Discovery Sport,1,2014-2019,подвеска,Рычаги/сайлентблоки,260,380,540,48,5,0.48,540
Land Rover,Discovery Sport,1,2014-2019,двигатель,Ingenium 2.0 — цепь/масложор,750,1100,1550,30,8,0.48,1550
Land Rover,Discovery Sport,1,2014-2019,двигатель,Турбина — износ геометрии,600,850,1200,26,7,0.48,1200
Land Rover,Discovery Sport,1,2014-2019,электрика,Блоки управления/датчики,240,360,520,34,4,0.48,520
Land Rover,Discovery Sport,1,2014-2019,трансмиссия,9HP — гидроблок/фрикционы,780,1150,1650,28,8,0.48,1650
Land Rover,Discovery Sport,1,2014-2019,охлаждение,Радиатор/термостат,180,260,380,36,4,0.48,380
Land Rover,Discovery Sport,1,2014-2019,тормоза,Передние диски/суппорты,160,240,340,40,3,0.48,340
Land Rover,Discovery Sport,1 рестайлинг,2019-2024,подвеска,Пневма/амортизаторы — износ,420,580,820,44,6,0.49,820
Land Rover,Discovery Sport,1 рестайлинг,2019-2024,подвеска,Рычаги/сайлентблоки,280,400,580,50,5,0.49,580
Land Rover,Discovery Sport,1 рестайлинг,2019-2024,двигатель,Ingenium 2.0 — цепь/масложор,800,1200,1700,32,8,0.49,1700
Land Rover,Discovery Sport,1 рестайлинг,2019-2024,двигатель,Турбина — износ геометрии,650,900,1300,28,7,0.49,1300
Land Rover,Discovery Sport,1 рестайлинг,2019-2024,электрика,Блоки управления/датчики,260,380,560,36,4,0.49,560
