brand,model,generation,years,unit_type,issue_description,cost_min_usd,cost_mean_usd,cost_max_usd,issue_probability_pct,issue_price_impact_pct,model_risk_score,generation_avg_cost_usd
Mazda,2,1,2003-2005,подвеска,Стойки/амортизаторы — износ,180,260,360,48,4,0.42,360
Mazda,2,1,2003-2005,подвеска,Рычаги/сайлентблоки,140,210,300,52,3,0.42,300
Mazda,2,1,2003-2005,двигатель,1.3/1.5 — катушки/течь прокладок,260,380,520,30,5,0.42,520
Mazda,2,1,2003-2005,электрика,Датчики/проводка,120,180,260,34,3,0.42,260
Mazda,2,1,2003-2005,трансмиссия,4AT — соленоиды/гидроблок,350,520,750,26,6,0.42,750
Mazda,2,1,2003-2005,охлаждение,Радиатор/термостат,110,160,230,38,3,0.42,230
Mazda,2,1,2003-2005,тормоза,Передние диски/суппорты,90,140,200,40,2,0.42,200
Mazda,2,1 рестайлинг,2005-2007,подвеска,Стойки/амортизаторы — износ,190,270,380,48,4,0.43,380
Mazda,2,1 рестайлинг,2005-2007,подвеска,Рычаги/сайлентблоки,150,220,310,52,3,0.43,310
Mazda,2,1 рестайлинг,2005-2007,двигатель,1.3/1.5 — катушки/течь прокладок,270,390,540,30,5,0.43,540
Mazda,2,1 рестайлинг,2005-2007,электрика,Датчики/проводка,130,190,270,34,3,0.43,270
Mazda,2,1 рестайлинг,2005-2007,трансмиссия,4AT — соленоиды/гидроблок,360,540,780,26,6,0.43,780
Mazda,2,1 рестайлинг,2005-2007,охлаждение,Радиатор/термостат,120,170,240,38,3,0.43,240
Mazda,2,1 рестайлинг,2005-2007,тормоза,Передние диски/суппорты,100,150,210,40,2,0.43,210
Mazda,2,2,2007-2010,подвеска,Стойки/амортизаторы — износ,200,300,420,50,4,0.45,420
Mazda,2,2,2007-2010,подвеска,Рычаги/сайлентблоки,160,240,330,54,3,0.45,330
Mazda,2,2,2007-2010,двигатель,1.3/1.5 — дроссель/катушки,300,420,600,32,6,0.45,600
Mazda,2,2,2007-2010,электрика,Датчики/проводка,140,200,290,36,3,0.45,290
Mazda,2,2,2007-2010,трансмиссия,4AT — соленоиды/гидроблок,380,560,800,28,6,0.45,800
Mazda,2,2,2007-2010,охлаждение,Радиатор/термостат,130,180,260,40,3,0.45,260
Mazda,2,2,2007-2010,тормоза,Передние диски/суппорты,110,160,230,42,2,0.45,230
Mazda,2,2 рестайлинг,2010-2014,подвеска,Стойки/амортизаторы — износ,220,320,450,50,4,0.46,450
Mazda,2,2 рестайлинг,2010-2014,подвеска,Рычаги/сайлентблоки,170,250,350,54,3,0.46,350
Mazda,2,2 рестайлинг,2010-2014,двигатель,1.3/1.5 — дроссель/катушки,320,450,620,32,6,0.46,620
Mazda,2,2 рестайлинг,2010-2014,электрика,Датчики/проводка,150,210,300,36,3,0.46,300
Mazda,2,2 рестайлинг,2010-2014,трансмиссия,4AT — соленоиды/гидроблок,400,580,820,28,6,0.46,820
Mazda,2,2 рестайлинг,2010-2014,охлаждение,Радиатор/термостат,140,200,280,40,3,0.46,280
Mazda,2,2 рестайлинг,2010-2014,тормоза,Передние диски/суппорты,120,170,240,42,2,0.46,240
Mazda,2,3,2014-2020,подвеска,Стойки/амортизаторы — износ,260,380,520,52,4,0.48,520
