brand,model,generation,years,unit_type,issue_description,cost_min_usd,cost_mean_usd,cost_max_usd,issue_probability_pct,issue_price_impact_pct,model_risk_score,generation_avg_cost_usd
Mercedes-Benz,A-Class,W168,1997-2001,подвеска,Стойки/амортизаторы — износ,260,360,520,52,4,0.48,520
Mercedes-Benz,A-Class,W168,1997-2001,подвеска,Рычаги/сайлентблоки,180,260,360,56,3,0.48,360
Mercedes-Benz,A-Class,W168,1997-2001,двигатель,1.4/1.6 — дроссель/катушки,340,480,680,34,6,0.48,680
Mercedes-Benz,A-Class,W168,1997-2001,электрика,Датчики/проводка,160,230,320,38,3,0.48,320
Mercedes-Benz,A-Class,W168,1997-2001,трансмиссия,АКПП — гидроблок/фрикционы,520,760,1100,32,7,0.48,1100
Mercedes-Benz,A-Class,W168,1997-2001,охлаждение,Радиатор/термостат,140,200,280,42,3,0.48,280
Mercedes-Benz,A-Class,W168,1997-2001,тормоза,Передние диски/суппорты,120,170,240,44,2,0.48,240
Mercedes-Benz,A-Class,W168 рестайлинг,2001-2004,подвеска,Стойки/амортизаторы — износ,270,380,540,52,4,0.49,540
Mercedes-Benz,A-Class,W168 рестайлинг,2001-2004,подвеска,Рычаги/сайлентблоки,190,270,380,56,3,0.49,380
Mercedes-Benz,A-Class,W168 рестайлинг,2001-2004,двигатель,1.4/1.6 — дроссель/катушки,360,500,720,34,6,0.49,720
Mercedes-Benz,A-Class,W168 рестайлинг,2001-2004,электрика,Датчики/проводка,170,240,330,38,3,0.49,330
Mercedes-Benz,A-Class,W168 рестайлинг,2001-2004,трансмиссия,АКПП — гидроблок/фрикционы,540,780,1150,32,7,0.49,1150
Mercedes-Benz,A-Class,W168 рестайлинг,2001-2004,охлаждение,Радиатор/термостат,150,210,300,42,3,0.49,300
Mercedes-Benz,A-Class,W168 рестайлинг,2001-2004,тормоза,Передние диски/суппорты,130,180,260,44,2,0.49,260
Mercedes-Benz,A-Class,W169,2004-2008,подвеска,Стойки/амортизаторы — износ,300,420,600,54,4,0.50,600
