brand,model,generation,years,unit_type,issue_description,cost_min_usd,cost_mean_usd,cost_max_usd,issue_probability_pct,issue_price_impact_pct,model_risk_score,generation_avg_cost_usd
Opel,Agila,H00,2000-2007,подвеска,Стойки/амортизаторы — износ,220,310,450,56,4,0.48,450
Opel,Agila,H00,2000-2007,подвеска,Рычаги/сайлентблоки,150,220,310,58,3,0.48,310
Opel,Agila,H00,2000-2007,двигатель,1.0/1.2 бензин — катушки/ГРМ,360,520,780,40,7,0.48,780
Opel,Agila,H00,2000-2007,электрика,Датчики/проводка,140,200,280,40,3,0.48,280
Opel,Agila,H00,2000-2007,трансмиссия,5MT — сцепление/синхронизаторы,420,600,900,34,7,0.48,900
Opel,Agila,H00,2000-2007,охлаждение,Радиатор/термостат,130,180,260,44,3,0.48,260
Opel,Agila,H00,2000-2007,тормоза,Передние диски/суппорты,120,170,240,46,2,0.48,240
Opel,Agila,H08,2008-2014,подвеска,Стойки/амортизаторы — износ,240,340,500,58,4,0.50,500
Opel,Agila,H08,2008-2014,подвеска,Рычаги/сайлентблоки,160,230,330,60,3,0.50,330
Opel,Agila,H08,2008-2014,двигатель,1.0/1.2 бензин — цепь/катушки,380,550,820,40,7,0.50,820
Opel,Agila,H08,2008-2014,электрика,Датчики/проводка,150,210,300,40,3,0.50,300
Opel,Agila,H08,2008-2014,трансмиссия,5MT/4AT — сцепление/гидроблок,450,640,950,34,7,0.50,950
Opel,Agila,H08,2008-2014,охлаждение,Радиатор/термостат,140,200,290,44,3,0.50,290
Opel,Agila,H08,2008-2014,тормоза,Передние диски/суппорты,130,180,260,46,2,0.50,260
Opel,Antara,L07,2006-2010,подвеска,Стойки/амортизаторы — износ,300,420,600,58,4,0.50,600
Opel,Antara,L07,2006-2010,подвеска,Рычаги/сайлентблоки,210,300,420,60,3,0.50,420
Opel,Antara,L07,2006-2010,двигатель,2.4/3.2 бензин — цепь/катушки,520,750,1100,42,7,0.50,1100
Opel,Antara,L07,2006-2010,электрика,Датчики/проводка,200,280,380,42,3,0.50,380
Opel,Antara,L07,2006-2010,трансмиссия,5AT/6AT — гидроблок/фрикционы,750,1050,1500,36,7,0.50,1500
Opel,Antara,L07,2006-2010,охлаждение,Радиатор/термостат,180,250,340,46,3,0.50,340
Opel,Antara,L07,2006-2010,тормоза,Передние диски/суппорты,160,220,310,48,2,0.50,310
Opel,Antara,L07 рестайлинг,2010-2015,подвеска,Стойки/амортизаторы — износ,320,450,650,58,4,0.51,650
Opel,Antara,L07 рестайлинг,2010-2015,подвеска,Рычаги/сайлентблоки,220,310,440,60,3,0.51,440
Opel,Antara,L07 рестайлинг,2010-2015,двигатель,2.4/3.0 бензин — цепь/катушки,550,800,1200,42,7,0.51,1200
Opel,Antara,L07 рестайлинг,2010-2015,электрика,Датчики/проводка,210,300,400,42,3,0.51,400
Opel,Antara,L07 рестайлинг,2010-2015,трансмиссия,6AT — гидроблок/фрикционы,780,1100,1600,36,7,0.51,1600
Opel,Antara,L07 рестайлинг,2010-2015,охлаждение,Радиатор/термостат,190,260,360,46,3,0.51,360
Opel,Antara,L07 рестайлинг,2010-2015,тормоза,Передние диски/суппорты,170,230,330,48,2,0.51,330
Opel,Astra,F,1991-1998,подвеска,Стойки/амортизаторы — износ,240,340,500,56,4,0.48,500
Opel,Astra,F,1991-1998,подвеска,Рычаги/сайлентблоки,160,230,330,58,3,0.48,330
Opel,Astra,F,1991-1998,двигатель,1.4–2.0 бензин — ГРМ/катушки,420,600,900,40,7,0.48,900
Opel,Astra,F,1991-1998,электрика,Датчики/проводка,150,210,300,40,3,0.48,300
Opel,Astra,F,1991-1998,трансмиссия,5MT — сцепление/синхронизаторы,450,640,950,34,7,0.48,950
Opel,Astra,F,1991-1998,охлаждение,Радиатор/термостат,140,200,290,44,3,0.48,290
Opel,Astra,F,1991-1998,тормоза,Передние диски/суппорты,130,180,260,46,2,0.48,260
Opel,Astra,G,1998-2004,подвеска,Стойки/амортизаторы — износ,260,360,520,58,4,0.49,520
Opel,Astra,G,1998-2004,подвеска,Рычаги/сайлентблоки,170,240,340,60,3,0.49,340
Opel,Astra,G,1998-2004,двигатель,1.4–2.2 бензин/дизель — ГРМ/катушки,440,620,950,40,7,0.49,950
Opel,Astra,G,1998-2004,электрика,Датчики/проводка,160,230,330,40,3,0.49,330
Opel,Astra,G,1998-2004,трансмиссия,5MT/4AT — сцепление/гидроблок,480,680,1000,34,7,0.49,1000
Opel,Astra,G,1998-2004,охлаждение,Радиатор/термостат,150,210,300,44,3,0.49,300
Opel,Astra,G,1998-2004,тормоза,Передние диски/суппорты,140,190,270,46,2,0.49,270
Opel,Astra,G рестайлинг,2004-2009,подвеска,Стойки/амортизаторы — износ,270,380,540,58,4,0.50,540
Opel,Astra,G рестайлинг,2004-2009,подвеска,Рычаги/сайлентблоки,180,250,360,60,3,0.50,360
Opel,Astra,G рестайлинг,2004-2009,двигатель,1.4–2.2 бензин/дизель — ГРМ/катушки,460,650,980,40,7,0.50,980
Opel,Astra,G рестайлинг,2004-2009,электрика,Датчики/проводка,170,240,340,40,3,0.50,340
Opel,Astra,G рестайлинг,2004-2009,трансмиссия,5MT/4AT — сцепление/гидроблок,500,700,1050,34,7,0.50,1050
Opel,Astra,G рестайлинг,2004-2009,охлаждение,Радиатор/термостат,160,220,320,44,3,0.50,320
Opel,Astra,G рестайлинг,2004-2009,тормоза,Передние диски/суппорты,150,200,290,46,2,0.50,290
Opel,Astra,H,2004-2007,подвеска,Стойки/амортизаторы — износ,280,400,580,60,4,0.51,580
Opel,Astra,H,2004-2007,подвеска,Рычаги/сайлентблоки,190,270,380,62,3,0.51,380
Opel,Astra,H,2004-2007,двигатель,1.4–2.0 бензин/дизель — ГРМ/катушки,480,680,1020,42,7,0.51,1020
Opel,Astra,H,2004-2007,электрика,Датчики/проводка,180,260,360,42,3,0.51,360
Opel,Astra,H,2004-2007,трансмиссия,5MT/6MT/6AT,520,740,1100,36,7,0.51,1100
