brand,model,generation,years,unit_type,issue_description,cost_min_usd,cost_mean_usd,cost_max_usd,issue_probability_pct,issue_price_impact_pct,model_risk_score,generation_avg_cost_usd
Peugeot,2008,1,2013-2019,подвеска,Износ передних рычагов,140,210,300,36,4,0.38,300
Peugeot,2008,1,2013-2019,подвеска,Стойки стабилизатора — быстрый износ,70,110,160,42,3,0.38,300
Peugeot,2008,1,2013-2019,двигатель,1.2 PureTech/1.6 HDi — течи масла,160,230,340,30,6,0.38,300
Peugeot,2008,1,2013-2019,двигатель,Износ датчиков/соленоидов,90,140,200,24,5,0.38,300
Peugeot,2008,1,2013-2019,электрика,Сбои BCM/ABS модулей,80,130,190,22,4,0.38,300
Peugeot,2008,1,2013-2019,трансмиссия,6AT/5MT — износ сцепления/соленоидов,220,330,480,18,8,0.38,300
Peugeot,2008,1,2013-2019,охлаждение,Неисправность термостата/помпы,80,120,180,20,4,0.38,300
Peugeot,2008,1,2013-2019,тормоза,Износ передних дисков,60,90,140,30,3,0.38,300
Peugeot,2008,2,2019-...,подвеска,Износ передних рычагов,160,240,340,34,4,0.40,340
Peugeot,2008,2,2019-...,подвеска,Стойки стабилизатора — быстрый износ,80,120,180,40,3,0.40,340
Peugeot,2008,2,2019-...,двигатель,1.2 PureTech/1.5 BlueHDi — течи масла,180,260,380,28,6,0.40,340
Peugeot,2008,2,2019-...,двигатель,Износ датчиков/соленоидов,100,150,220,22,5,0.40,340
Peugeot,2008,2,2019-...,электрика,Сбои BCM/ABS модулей,90,140,210,20,4,0.40,340
Peugeot,2008,2,2019-...,трансмиссия,8AT — износ соленоидов/гидроблока,260,380,560,18,8,0.40,340
Peugeot,2008,2,2019-...,охлаждение,Неисправность термостата/помпы,90,130,200,20,4,0.40,340
Peugeot,2008,2,2019-...,тормоза,Износ передних дисков,70,110,160,30,3,0.40,340
Peugeot,206,1,1998-2003,подвеска,Износ передних рычагов,70,110,160,42,4,0.32,160
Peugeot,206,1,1998-2003,подвеска,Стойки стабилизатора — быстрый износ,35,55,85,48,3,0.32,160
Peugeot,206,1,1998-2003,двигатель,1.1/1.4/1.6 TU — течи масла,90,130,190,34,6,0.32,160
Peugeot,206,1,1998-2003,двигатель,Износ датчиков/катушек,45,70,110,28,5,0.32,160
Peugeot,206,1,1998-2003,электрика,Сбои проводки/BSI,40,65,100,26,4,0.32,160
Peugeot,206,1,1998-2003,трансмиссия,5MT — износ сцепления,110,160,230,22,7,0.32,160
Peugeot,206,1,1998-2003,охлаждение,Неисправность радиатора/помпы,45,70,110,24,4,0.32,160
Peugeot,206,1,1998-2003,тормоза,Износ передних дисков,35,55,85,36,3,0.32,160
Peugeot,206,1 рестайлинг,2003-2012,подвеска,Износ передних рычагов,80,120,180,40,4,0.33,180
Peugeot,206,1 рестайлинг,2003-2012,подвеска,Стойки стабилизатора — быстрый износ,40,60,90,46,3,0.33,180
Peugeot,206,1 рестайлинг,2003-2012,двигатель,1.1/1.4/1.6 TU — течи масла,100,150,210,32,6,0.33,180
Peugeot,206,1 рестайлинг,2003-2012,двигатель,Износ датчиков/катушек,50,80,120,26,5,0.33,180
Peugeot,206,1 рестайлинг,2003-2012,электрика,Сбои BSI/ABS,45,75,115,24,4,0.33,180
Peugeot,206,1 рестайлинг,2003-2012,трансмиссия,5MT — износ сцепления,120,170,250,20,7,0.33,180
Peugeot,206,1 рестайлинг,2003-2012,охлаждение,Неисправность термостата/помпы,50,80,120,22,4,0.33,180
Peugeot,206,1 рестайлинг,2003-2012,тормоза,Износ передних дисков,40,60,95,34,3,0.33,180
Peugeot,207,1,2006-2009,подвеска,Износ передних рычагов,90,140,210,40,4,0.34,210
Peugeot,207,1,2006-2009,подвеска,Стойки стабилизатора — быстрый износ,45,70,110,46,3,0.34,210
Peugeot,207,1,2006-2009,двигатель,1.4/1.6 VTi/THP — течи масла,120,170,250,32,6,0.34,210
Peugeot,207,1,2006-2009,двигатель,Износ датчиков/катушек,60,95,150,26,5,0.34,210
Peugeot,207,1,2006-2009,электрика,Сбои BSI/ABS,55,90,140,24,4,0.34,210
Peugeot,207,1,2006-2009,трансмиссия,5MT/4AT — износ сцепления/соленоидов,130,190,280,20,7,0.34,210
Peugeot,207,1,2006-2009,охлаждение,Неисправность термостата/помпы,55,85,130,22,4,0.34,210
Peugeot,207,1,2006-2009,тормоза,Износ передних дисков,45,70,110,34,3,0.34,210
Peugeot,207,1 рестайлинг,2009-2014,подвеска,Износ передних рычагов,100,150,230,38,4,0.35,230
Peugeot,207,1 рестайлинг,2009-2014,подвеска,Стойки стабилизатора — быстрый износ,50,80,120,44,3,0.35,230
Peugeot,207,1 рестайлинг,2009-2014,двигатель,1.4/1.6 VTi/THP — течи масла,130,190,280,30,6,0.35,230
Peugeot,207,1 рестайлинг,2009-2014,двигатель,Износ датчиков/катушек,70,110,160,24,5,0.35,230
Peugeot,207,1 рестайлинг,2009-2014,электрика,Сбои BSI/ABS,60,100,150,22,4,0.35,230
Peugeot,207,1 рестайлинг,2009-2014,трансмиссия,5MT/4AT — износ сцепления/соленоидов,140,200,300,18,8,0.35,230
Peugeot,207,1 рестайлинг,2009-2014,охлаждение,Неисправность термостата/помпы,60,95,150,20,4,0.35,230
Peugeot,207,1 рестайлинг,2009-2014,тормоза,Износ передних дисков,50,80,120,32,3,0.35,230
Peugeot,208,1,2012-2019,подвеска,Износ передних рычагов,120,180,260,38,4,0.37,260
Peugeot,208,1,2012-2019,подвеска,Стойки стабилизатора — быстрый износ,60,95,150,44,3,0.37,260
