brand,model,generation,years,unit_type,issue_description,cost_min_usd,cost_mean_usd,cost_max_usd,issue_probability_pct,issue_price_impact_pct,model_risk_score,generation_avg_cost_usd
Renault,Captur,1,2013-2017,подвеска,Стойки/амортизаторы — износ,300,420,600,60,4,0.51,600
Renault,Captur,1,2013-2017,подвеска,Рычаги/сайлентблоки,200,280,400,62,3,0.51,400
Renault,Captur,1,2013-2017,двигатель,0.9–1.2 бензин/1.5 дизель — цепь/турбина,520,750,1100,44,7,0.51,1100
Renault,Captur,1,2013-2017,электрика,Датчики/проводка,190,270,380,44,3,0.51,380
Renault,Captur,1,2013-2017,трансмиссия,5MT/6MT/6EDC,560,800,1200,38,7,0.51,1200
Renault,Captur,1,2013-2017,охлаждение,Радиатор/термостат,170,240,340,48,3,0.51,340
Renault,Captur,1,2013-2017,тормоза,Передние диски/суппорты,160,220,310,50,2,0.51,310
Renault,Captur,1 рестайлинг,2017-2020,подвеска,Стойки/амортизаторы — износ,320,450,650,60,4,0.52,650
Renault,Captur,1 рестайлинг,2017-2020,подвеска,Рычаги/сайлентблоки,210,300,420,62,3,0.52,420
Renault,Captur,1 рестайлинг,2017-2020,двигатель,0.9–1.3 бензин/1.5 дизель — цепь/турбина,540,780,1150,44,7,0.52,1150
Renault,Captur,1 рестайлинг,2017-2020,электрика,Датчики/проводка,200,290,400,44,3,0.52,400
Renault,Captur,1 рестайлинг,2017-2020,трансмиссия,5MT/6MT/6EDC,580,820,1250,38,7,0.52,1250
Renault,Captur,1 рестайлинг,2017-2020,охлаждение,Радиатор/термостат,180,250,360,48,3,0.52,360
Renault,Captur,1 рестайлинг,2017-2020,тормоза,Передние диски/суппорты,170,230,330,50,2,0.52,330
Renault,Captur,2,2020-…,подвеска,Стойки/амортизаторы — износ,340,480,700,62,4,0.53,700
Renault,Captur,2,2020-…,подвеска,Рычаги/сайлентблоки,220,310,440,64,3,0.53,440
Renault,Captur,2,2020-…,двигатель,1.0–1.6 бензин/гибрид — цепь/турбина,560,820,1250,46,7,0.53,1250
Renault,Captur,2,2020-…,электрика,Датчики/проводка,210,300,420,46,3,0.53,420
Renault,Captur,2,2020-…,трансмиссия,6MT/7EDC,620,880,1350,40,7,0.53,1350
Renault,Captur,2,2020-…,охлаждение,Радиатор/термостат,190,260,380,50,3,0.53,380
Renault,Captur,2,2020-…,тормоза,Передние диски/суппорты,170,230,330,52,2,0.53,330
Renault,Clio,1,1990-1998,подвеска,Стойки/амортизаторы — износ,220,310,460,56,4,0.48,460
Renault,Clio,1,1990-1998,подвеска,Рычаги/сайлентблоки,150,210,300,58,3,0.48,300
Renault,Clio,1,1990-1998,двигатель,1.2–1.8 бензин — ГРМ/катушки,380,540,820,40,7,0.48,820
Renault,Clio,1,1990-1998,электрика,Датчики/проводка,130,190,270,40,3,0.48,270
Renault,Clio,1,1990-1998,трансмиссия,5MT — сцепление/синхронизаторы,420,600,900,34,7,0.48,900
Renault,Clio,1,1990-1998,охлаждение,Радиатор/термостат,120,170,250,44,3,0.48,250
Renault,Clio,1,1990-1998,тормоза,Передние диски/суппорты,110,160,230,46,2,0.48,230
Renault,Clio,2,1998-2005,подвеска,Стойки/амортизаторы — износ,240,340,500,58,4,0.49,500
Renault,Clio,2,1998-2005,подвеска,Рычаги/сайлентблоки,160,230,330,60,3,0.49,330
Renault,Clio,2,1998-2005,двигатель,1.2–2.0 бензин/1.5 дизель — ГРМ/катушки,420,600,900,40,7,0.49,900
Renault,Clio,2,1998-2005,электрика,Датчики/проводка,150,210,300,40,3,0.49,300
Renault,Clio,2,1998-2005,трансмиссия,5MT/4AT,450,640,950,34,7,0.49,950
Renault,Clio,2,1998-2005,охлаждение,Радиатор/термостат,140,200,290,44,3,0.49,290
Renault,Clio,2,1998-2005,тормоза,Передние диски/суппорты,130,180,260,46,2,0.49,260
Renault,Clio,2 рестайлинг,2005-2012,подвеска,Стойки/амортизаторы — износ,260,360,520,58,4,0.50,520
Renault,Clio,2 рестайлинг,2005-2012,подвеска,Рычаги/сайлентблоки,170,240,340,60,3,0.50,340
Renault,Clio,2 рестайлинг,2005-2012,двигатель,1.2–1.6 бензин/1.5 дизель — ГРМ/цепь,440,620,950,40,7,0.50,950
Renault,Clio,2 рестайлинг,2005-2012,электрика,Датчики/проводка,160,230,330,40,3,0.50,330
Renault,Clio,2 рестайлинг,2005-2012,трансмиссия,5MT/4AT,480,680,1000,34,7,0.50,1000
Renault,Clio,2 рестайлинг,2005-2012,охлаждение,Радиатор/термостат,150,210,300,44,3,0.50,300
Renault,Clio,2 рестайлинг,2005-2012,тормоза,Передние диски/суппорты,140,190,270,46,2,0.50,270
Renault,Clio,3,2005-2012,подвеска,Стойки/амортизаторы — износ,280,400,580,60,4,0.51,580
Renault,Clio,3,2005-2012,подвеска,Рычаги/сайлентблоки,180,260,370,62,3,0.51,370
Renault,Clio,3,2005-2012,двигатель,1.2–2.0 бензин/1.5 дизель — цепь/турбина,480,680,1020,42,7,0.51,1020
Renault,Clio,3,2005-2012,электрика,Датчики/проводка,170,240,340,42,3,0.51,340
Renault,Clio,3,2005-2012,трансмиссия,5MT/6MT/4AT,520,740,1100,36,7,0.51,1100
Renault,Clio,3,2005-2012,охлаждение,Радиатор/термостат,160,220,320,46,3,0.51,320
Renault,Clio,3,2005-2012,тормоза,Передние диски/суппорты,140,190,270,48,2,0.51,270
Renault,Clio,4,2012-2019,подвеска,Стойки/амортизаторы — износ,300,430,620,62,4,0.52,620
Renault,Clio,4,2012-2019,подвеска,Рычаги/сайлентблоки,200,280,400,64,3,0.52,400
Renault,Clio,4,2012-2019,двигатель,0.9–1.6 бензин/1.5 дизель — цепь/турбина,520,750,1100,44,7,0.52,1100
Renault,Clio,4,2012-2019,электрика,Датчики/проводка,190,270,380,44,3,0.52,380
Renault,Clio,4,2012-2019,трансмиссия,5MT/6MT/6EDC,560,800,1200,38,7,0.52,1200
Renault,Clio,4,2012-2019,охлаждение,Радиатор/термостат,180,250,360,48,3,0.52,360
Renault,Clio,4,2012-2019,тормоза,Передние диски/суппорты,160,220,310,50,2,0.52,310
Renault,Clio,5,2019-…,подвеска,Стойки/амортизаторы — износ,320,460,680,64,4,0.53,680
