brand,model,generation,years,unit_type,issue_description,cost_min_usd,cost_mean_usd,cost_max_usd,issue_probability_pct,issue_price_impact_pct,model_risk_score,generation_avg_cost_usd
Skoda,Citigo,1,2011-2020,подвеска,Стойки/амортизаторы — износ,240,340,500,58,4,0.49,500
Skoda,Citigo,1,2011-2020,подвеска,Рычаги/сайлентблоки,160,230,330,60,3,0.49,330
Skoda,Citigo,1,2011-2020,двигатель,1.0 бензин — цепь/катушки,420,600,900,40,7,0.49,900
Skoda,Citigo,1,2011-2020,электрика,Датчики/проводка,150,210,300,40,3,0.49,300
Skoda,Citigo,1,2011-2020,трансмиссия,5MT/ASG,480,680,1000,34,7,0.49,1000
Skoda,Citigo,1,2011-2020,охлаждение,Радиатор/термостат,140,200,290,44,3,0.49,290
Skoda,Citigo,1,2011-2020,тормоза,Передние диски/суппорты,130,180,260,46,2,0.49,260
Skoda,Fabia,1,1999-2007,подвеска,Стойки/амортизаторы — износ,250,360,520,58,4,0.49,520
Skoda,Fabia,1,1999-2007,подвеска,Рычаги/сайлентблоки,160,230,330,60,3,0.49,330
Skoda,Fabia,1,1999-2007,двигатель,1.2–2.0 бензин/1.4–1.9 дизель — ГРМ/турбина,440,620,950,42,7,0.49,950
Skoda,Fabia,1,1999-2007,электрика,Датчики/проводка,160,230,330,42,3,0.49,330
Skoda,Fabia,1,1999-2007,трансмиссия,5MT/6MT/4AT,500,700,1050,36,7,0.49,1050
Skoda,Fabia,1,1999-2007,охлаждение,Радиатор/термостат,150,210,300,46,3,0.49,300
Skoda,Fabia,1,1999-2007,тормоза,Передние диски/суппорты,130,180,260,48,2,0.49,260
Skoda,Fabia,2,2007-2010,подвеска,Стойки/амортизаторы — износ,270,380,560,60,4,0.50,560
Skoda,Fabia,2,2007-2010,подвеска,Рычаги/сайлентблоки,180,260,370,62,3,0.50,370
Skoda,Fabia,2,2007-2010,двигатель,1.2–1.6 бензин/1.6–1.9 дизель — ГРМ/турбина,460,660,980,42,7,0.50,980
Skoda,Fabia,2,2007-2010,электрика,Датчики/проводка,170,240,340,42,3,0.50,340
Skoda,Fabia,2,2007-2010,трансмиссия,5MT/6MT/6AT,520,740,1100,36,7,0.50,1100
Skoda,Fabia,2,2007-2010,охлаждение,Радиатор/термостат,160,220,320,46,3,0.50,320
Skoda,Fabia,2,2007-2010,тормоза,Передние диски/суппорты,140,190,270,48,2,0.50,270
Skoda,Fabia,2 рестайлинг,2010-2014,подвеска,Стойки/амортизаторы — износ,290,410,600,62,4,0.51,600
Skoda,Fabia,2 рестайлинг,2010-2014,подвеска,Рычаги/сайлентблоки,190,270,390,64,3,0.51,390
Skoda,Fabia,2 рестайлинг,2010-2014,двигатель,1.2–1.6 бензин/1.6 дизель — цепь/турбина,500,700,1050,44,7,0.51,1050
Skoda,Fabia,2 рестайлинг,2010-2014,электрика,Датчики/проводка,180,250,360,44,3,0.51,360
Skoda,Fabia,2 рестайлинг,2010-2014,трансмиссия,5MT/6MT/6AT,540,780,1150,38,7,0.51,1150
Skoda,Fabia,2 рестайлинг,2010-2014,охлаждение,Радиатор/термостат,170,240,340,48,3,0.51,340
Skoda,Fabia,2 рестайлинг,2010-2014,тормоза,Передние диски/суппорты,150,210,300,50,2,0.51,300
Skoda,Fabia,3,2014-2021,подвеска,Стойки/амортизаторы — износ,310,440,650,62,4,0.52,650
Skoda,Fabia,3,2014-2021,подвеска,Рычаги/сайлентблоки,200,280,400,64,3,0.52,400
Skoda,Fabia,3,2014-2021,двигатель,1.0–1.4 бензин/1.4–1.6 дизель — цепь/турбина,540,780,1150,44,7,0.52,1150
Skoda,Fabia,3,2014-2021,электрика,Датчики/проводка,190,270,380,44,3,0.52,380
