brand,model,generation,years,unit_type,issue_description,cost_min_usd,cost_mean_usd,cost_max_usd,issue_probability_pct,issue_price_impact_pct,model_risk_score,generation_avg_cost_usd
Toyota,Auris,1,2006-2012,подвеска,Стойки/амортизаторы — износ,300,420,620,60,4,0.51,620
Toyota,Auris,1,2006-2012,подвеска,Рычаги/сайлентблоки,200,280,400,62,3,0.51,400
Toyota,Auris,1,2006-2012,двигатель,1.3–2.0 бензин/1.4–2.2 дизель — цепь/ГРМ/турбина,520,750,1100,42,7,0.51,1100
Toyota,Auris,1,2006-2012,электрика,Датчики/проводка,170,240,340,42,3,0.51,340
Toyota,Auris,1,2006-2012,трансмиссия,5MT/6MT/4AT/Multidrive,560,800,1200,36,7,0.51,1200
Toyota,Auris,1,2006-2012,охлаждение,Радиатор/термостат,160,220,320,46,3,0.51,320
Toyota,Auris,1,2006-2012,тормоза,Передние диски/суппорты,140,190,270,48,2,0.51,270
Toyota,Auris,2,2012-2018,подвеска,Стойки/амортизаторы — износ,320,460,680,62,4,0.52,680
Toyota,Auris,2,2012-2018,подвеска,Рычаги/сайлентблоки,210,300,420,64,3,0.52,420
Toyota,Auris,2,2012-2018,двигатель,1.2–1.8 бензин/1.4–2.0 дизель — цепь/турбина,560,820,1250,44,7,0.52,1250
Toyota,Auris,2,2012-2018,электрика,Датчики/проводка,190,270,380,44,3,0.52,380
Toyota,Auris,2,2012-2018,трансмиссия,6MT/Multidrive/7AT,600,860,1300,38,7,0.52,1300
Toyota,Auris,2,2012-2018,охлаждение,Радиатор/термостат,180,250,360,48,3,0.52,360
Toyota,Auris,2,2012-2018,тормоза,Передние диски/суппорты,160,220,310,50,2,0.52,310
Toyota,Auris,3,2018-2020,подвеска,Стойки/амортизаторы — износ,340,480,720,64,4,0.53,720
Toyota,Auris,3,2018-2020,подвеска,Рычаги/сайлентблоки,220,310,440,66,3,0.53,440
Toyota,Auris,3,2018-2020,двигатель,1.2–2.0 бензин/гибрид — цепь/турбина,580,840,1280,46,7,0.53,1280
