brand,model,generation,years,unit_type,issue_description,cost_min_usd,cost_mean_usd,cost_max_usd,issue_probability_pct,issue_price_impact_pct,model_risk_score,generation_avg_cost_usd
Volkswagen,Bora,1,1998-2005,подвеска,Стойки/амортизаторы — износ,260,360,540,58,4,0.49,540
Volkswagen,Bora,1,1998-2005,подвеска,Рычаги/сайлентблоки,170,240,350,60,3,0.49,350
Volkswagen,Bora,1,1998-2005,двигатель,1.6–2.8 бензин/1.9 TDI — ГРМ/ТНВД/турбина,480,680,1020,42,7,0.49,1020
Volkswagen,Bora,1,1998-2005,электрика,Датчики/проводка,160,230,330,42,3,0.49,330
Volkswagen,Bora,1,1998-2005,трансмиссия,5MT/6MT/4AT,520,740,1100,36,7,0.49,1100
Volkswagen,Bora,1,1998-2005,охлаждение,Радиатор/термостат,150,210,300,46,3,0.49,300
Volkswagen,Bora,1,1998-2005,тормоза,Передние диски/суппорты,130,180,260,48,2,0.49,260
Volkswagen,Caddy,1,1995-2004,подвеска,Стойки/амортизаторы — износ,240,340,500,58,4,0.49,500
Volkswagen,Caddy,1,1995-2004,подвеска,Рычаги/сайлентблоки,160,230,330,60,3,0.49,330
Volkswagen,Caddy,1,1995-2004,двигатель,1.4–1.9 бензин/1.9 SDI/TDI — ГРМ/ТНВД,420,600,900,40,7,0.49,900
Volkswagen,Caddy,1,1995-2004,электрика,Датчики/проводка,150,210,300,40,3,0.49,300
Volkswagen,Caddy,1,1995-2004,трансмиссия,5MT/4AT,480,680,1000,34,7,0.49,1000
Volkswagen,Caddy,1,1995-2004,охлаждение,Радиатор/термостат,140,200,290,44,3,0.49,290
Volkswagen,Caddy,1,1995-2004,тормоза,Передние диски/суппорты,130,180,260,46,2,0.49,260
Volkswagen,Caddy,2,2004-2015,подвеска,Стойки/амортизаторы — износ,260,380,560,60,4,0.50,560
Volkswagen,Caddy,2,2004-2015,подвеска,Рычаги/сайлентблоки,170,250,360,62,3,0.50,360
Volkswagen,Caddy,2,2004-2015,двигатель,1.6–2.0 бензин/1.6–2.0 TDI — ГРМ/турбина,480,680,1020,42,7,0.50,1020
Volkswagen,Caddy,2,2004-2015,электрика,Датчики/проводка,160,230,330,42,3,0.50,330
Volkswagen,Caddy,2,2004-2015,трансмиссия,5MT/6MT/DSG6,520,740,1100,36,7,0.50,1100
Volkswagen,Caddy,2,2004-2015,охлаждение,Радиатор/термостат,150,210,300,46,3,0.50,300
Volkswagen,Caddy,2,2004-2015,тормоза,Передние диски/суппорты,130,180,260,48,2,0.50,260
Volkswagen,Caddy,3,2015-2020,подвеска,Стойки/амортизаторы — износ,280,400,580,62,4,0.51,580
Volkswagen,Caddy,3,2015-2020,подвеска,Рычаги/сайлентблоки,180,260,370,64,3,0.51,370
Volkswagen,Caddy,3,2015-2020,двигатель,1.2–2.0 бензин/1.6–2.0 TDI — цепь/турбина,520,750,1100,44,7,0.51,1100
Volkswagen,Caddy,3,2015-2020,электрика,Датчики/проводка,180,250,360,44,3,0.51,360
Volkswagen,Caddy,3,2015-2020,трансмиссия,5MT/6MT/DSG6/DSG7,560,800,1200,38,7,0.51,1200
Volkswagen,Caddy,3,2015-2020,охлаждение,Радиатор/термостат,160,220,320,48,3,0.51,320
Volkswagen,Caddy,3,2015-2020,тормоза,Передние диски/суппорты,140,190,270,50,2,0.51,270
Volkswagen,Caddy,4,2020-…,подвеска,Стойки/амортизаторы — износ,300,430,620,64,4,0.52,620
Volkswagen,Caddy,4,2020-…,подвеска,Рычаги/сайлентблоки,200,280,400,66,3,0.52,400
Volkswagen,Caddy,4,2020-…,двигатель,1.5 TSI/2.0 TDI — цепь/турбина,560,820,1250,46,7,0.52,1250
Volkswagen,Caddy,4,2020-…,электрика,Датчики/проводка,190,270,380,46,3,0.52,380
Volkswagen,Caddy,4,2020-…,трансмиссия,6MT/DSG7,600,860,1300,40,7,0.52,1300
Volkswagen,Caddy,4,2020-…,охлаждение,Радиатор/термостат,180,250,360,50,3,0.52,360
Volkswagen,Caddy,4,2020-…,тормоза,Передние диски/суппорты,160,220,310,52,2,0.52,310
Volkswagen,Caddy Maxi,1,2007-2015,подвеска,Стойки/амортизаторы — износ,260,380,560,60,4,0.50,560
Volkswagen,Caddy Maxi,1,2007-2015,подвеска,Рычаги/сайлентблоки,170,250,360,62,3,0.50,360
Volkswagen,Caddy Maxi,1,2007-2015,двигатель,1.6–2.0 бензин/1.6–2.0 TDI — ГРМ/турбина,480,680,1020,42,7,0.50,1020
Volkswagen,Caddy Maxi,1,2007-2015,электрика,Датчики/проводка,160,230,330,42,3,0.50,330
Volkswagen,Caddy Maxi,1,2007-2015,трансмиссия,5MT/6MT/DSG6,520,740,1100,36,7,0.50,1100
Volkswagen,Caddy Maxi,1,2007-2015,охлаждение,Радиатор/термостат,150,210,300,46,3,0.50,300
Volkswagen,Caddy Maxi,1,2007-2015,тормоза,Передние диски/суппорты,130,180,260,48,2,0.50,260
Volkswagen,Caddy Maxi,2,2015-2020,подвеска,Стойки/амортизаторы — износ,280,400,580,62,4,0.51,580
Volkswagen,Caddy Maxi,2,2015-2020,подвеска,Рычаги/сайлентблоки,180,260,370,64,3,0.51,370
Volkswagen,Caddy Maxi,2,2015-2020,двигатель,1.2–2.0 бензин/1.6–2.0 TDI — цепь/турбина,520,750,1100,44,7,0.51,1100
Volkswagen,Caddy Maxi,2,2015-2020,электрика,Датчики/проводка,180,250,360,44,3,0.51,360
Volkswagen,Caddy Maxi,2,2015-2020,трансмиссия,5MT/6MT/DSG6/DSG7,560,800,1200,38,7,0.51,1200
