iter	RMSE
0	15855.72447
1	15675.19036
2	15479.13662
3	15270.83615
4	15090.75948
5	14921.45744
6	14747.1686
7	14553.41843
8	14374.91256
9	14208.7804
10	14038.41425
11	13876.3677
12	13703.81576
13	13546.0436
14	13398.61179
15	13254.51926
16	13111.48913
17	12948.05645
18	12798.83631
19	12641.15499
20	12503.92982
21	12373.54023
22	12225.4718
23	12118.12417
24	11989.75433
25	11845.47534
26	11703.10685
27	11563.5263
28	11450.51909
29	11326.37002
30	11213.98584
31	11095.91811
32	10984.511
33	10898.89981
34	10777.82709
35	10652.60601
36	10548.86514
37	10433.6542
38	10318.2846
39	10202.91162
40	10091.86898
41	9979.528654
42	9870.835483
43	9765.679288
44	9658.101351
45	9556.865248
46	9451.904427
47	9373.614617
48	9299.726856
49	9200.966695
50	9102.765356
51	9004.668742
52	8920.617925
53	8823.676359
54	8755.943639
55	8666.717538
56	8576.045228
57	8509.152102
58	8419.930411
59	8355.645785
60	8268.878531
61	8183.81662
62	8109.188762
63	8040.844742
64	7969.487184
65	7900.712358
66	7821.796719
67	7742.595749
68	7664.318333
69	7588.06182
70	7522.119968
71	7448.074168
72	7374.510422
73	7303.119688
74	7238.52249
75	7189.692285
76	7140.49702
77	7094.96559
78	7028.512207
79	6963.283377
80	6896.482394
81	6830.860076
82	6786.437146
83	6745.21599
84	6688.254792
85	6627.723932
86	6588.197785
87	6549.572989
88	6492.542046
89	6432.160207
90	6372.43904
91	6313.306365
92	6277.306557
93	6241.830345
94	6205.080226
95	6170.699982
96	6137.966735
97	6082.317899
98	6027.483131
99	5995.325317
100	5959.561614
101	5925.127127
102	5872.88706
103	5821.098178
104	5793.180526
105	5765.451292
106	5715.985594
107	5666.242095
108	5640.021835
109	5613.584908
110	5584.001852
111	5535.709691
112	5488.424756
113	5464.839074
114	5418.305643
115	5394.671041
116	5349.121842
117	5318.615085
118	5296.835358
119	5269.460923
120	5245.249094
121	5201.054128
122	5179.479011
123	5156.909387
124	5114.396934
125	5071.732332
126	5028.781357
127	5010.187795
128	4989.533708
129	4947.879358
130	4927.678594
131	4886.47995
132	4846.633537
133	4806.812943
134	4767.681096
135	4727.756681
136	4712.192961
137	4673.622798
138	4635.718819
139	4620.785293
140	4603.700435
141	4589.624416
142	4567.897609
143	4546.610432
144	4510.348577
145	4489.218366
146	4454.213812
147	4441.421922
148	4405.915583
149	4371.047592
150	4336.442484
151	4315.20572
152	4296.261302
153	4262.580164
154	4228.626637
155	4195.913202
156	4163.416002
157	4152.341669
158	4141.71506
159	4110.185348
160	4078.436777
161	4047.494359
162	4037.481924
163	4006.441682
164	3975.954555
165	3945.944242
166	3916.36723
167	3887.917861
168	3858.869798
169	3842.875523
170	3827.26643
171	3798.448253
172	3790.159038
173	3781.10646
174	3765.705879
175	3751.44128
176	3723.868348
177	3696.900148
178	3670.101223
179	3643.417998
180	3629.639423
181	3603.791673
182	3590.728713
183	3579.353048
184	3553.50646
185	3546.79134
186	3534.247932
187	3509.439991
188	3496.808265
189	3490.95399
190	3478.801884
191	3466.77128
192	3442.775859
193	3436.518229
194	3431.574742
195	3408.047043
196	3385.130647
197	3362.034593
198	3338.654662
199	3316.284741
200	3293.729923
201	3282.918042
202	3272.790401
203	3250.800703
204	3240.651587
205	3218.920228
206	3214.926702
207	3193.880209
208	3183.948733
209	3174.526488
210	3164.587285
211	3151.132835
212	3142.014435
213	3133.036736
214	3123.89128
215	3120.87188
