iter	Passed	Remaining
0	175	351697
1	246	245826
2	309	205897
3	380	189900
4	429	171258
5	500	166482
6	555	158260
7	612	152504
8	676	149554
9	734	146201
10	792	143347
11	858	142145
12	922	140930
13	978	138747
14	1031	136446
15	1078	133710
16	1152	134439
17	1227	135170
18	1299	135501
19	1374	136119
20	1445	136212
21	1506	135451
22	1574	135346
23	1637	134849
24	1707	134880
25	1767	134175
26	1828	133614
27	1891	133216
28	1949	132514
29	2012	132125
30	2076	131896
31	2138	131510
32	2197	130978
33	2258	130607
34	2321	130326
35	2360	128799
36	2417	128232
37	2471	127614
38	2514	126459
39	2569	125896
40	2638	126055
41	2694	125623
42	2749	125120
43	2804	124685
44	2861	124324
45	2921	124080
46	2983	123966
47	3037	123519
48	3100	123448
49	3152	122944
50	3207	122589
51	3260	122134
52	3311	121666
53	3466	124919
54	3683	130254
55	3780	131254
56	3846	131108
57	3905	130767
58	3927	129197
59	3988	128951
60	4038	128382
61	4089	127841
62	4141	127346
63	4192	126809
64	4247	126441
65	4308	126238
66	4360	125800
67	4413	125382
68	4463	124905
69	4515	124496
70	4570	124172
71	4602	123238
72	4623	122055
73	4672	121600
74	4720	121168
75	4766	120655
76	4822	120438
77	4858	119718
78	4905	119276
79	4955	118939
80	5014	118805
81	5078	118780
82	5121	118293
83	5172	117983
84	5206	117309
85	5260	117075
86	5321	117017
87	5379	116871
88	5441	116829
89	5485	116410
90	5531	116033
91	5587	115886
92	5647	115810
93	5709	115773
94	5764	115589
95	5815	115349
96	5875	115260
97	5931	115119
98	5987	114971
99	6052	114990
100	6230	117150
101	6354	118237
102	6547	120580
103	6641	121073
104	6738	121618
105	6763	120846
106	6813	120546
107	6861	120209
108	6917	120015
109	6968	119723
110	7015	119393
111	7064	119092
112	7113	118790
113	7168	118589
114	7220	118361
115	7275	118160
116	7323	117868
117	7385	117787
118	7436	117547
119	7481	117213
120	7545	117180
121	7593	116888
122	7651	116768
123	7708	116622
124	7756	116350
125	7804	116080
126	7841	115642
127	7877	115215
128	7929	115005
129	7979	114780
130	8032	114601
131	8080	114357
132	8140	114269
133	8182	113947
134	8235	113765
135	8292	113650
136	8335	113356
137	8396	113294
138	8452	113162
139	8511	113076
140	8564	112916
141	8617	112761
142	8675	112662
143	8731	112543
144	8782	112359
145	8835	112195
146	8889	112051
147	8937	111833
148	8988	111664
149	9127	112577
150	9523	116611
151	9603	116754
152	9658	116594
153	9710	116395
154	9772	116328
155	9824	116127
156	9872	115888
157	9920	115651
158	9965	115384
159	10000	115007
160	10050	114800
161	10072	114274
162	10126	114120
163	10177	113938
164	10230	113780
165	10291	113705
166	10339	113483
167	10392	113327
168	10435	113064
169	10491	112936
170	10542	112757
171	10583	112479
172	10634	112310
173	10697	112260
174	10744	112050
175	10794	111875
176	10847	111724
177	10904	111618
178	10963	111532
179	11002	111245
180	11053	111084
181	11092	110798
182	11148	110691
183	11203	110578
184	11260	110474
185	11316	110362
186	11367	110212
187	11397	109855
188	11457	109788
189	11521	109761
190	11579	109673
191	11640	109612
192	11685	109409
193	11734	109237
194	11761	108867
195	11813	108733
196	11857	108521
197	11919	108478
198	11972	108357
199	12020	108188
200	12072	108050
201	12131	107983
202	12157	107618
203	12204	107449
204	12252	107288
205	12313	107234
206	12368	107130
207	12431	107102
208	12480	106952
209	12538	106875
210	12586	106714
211	12643	106635
212	12700	106556
213	12751	106424
214	12805	106312
215	12832	105987
216	12888	105895
217	12941	105785
218	12995	105686
219	13049	105582
220	13107	105513
221	13162	105414
222	13220	105349
223	13268	105198
224	13323	105109
225	13375	104992
226	13417	104796
227	13458	104595
228	13513	104511
229	13564	104383
230	13622	104321
231	13675	104215
232	13734	104158
233	13764	103880
234	13790	103578
235	13825	103338
236	13877	103234
237	13935	103169
238	13987	103064
239	14047	103014
240	14105	102952
241	14159	102861
242	14210	102746
243	14243	102510
244	14294	102397
245	14338	102234
246	14389	102125
247	14446	102057
248	14487	101879
249	14537	101761
250	14736	102685
251	15986	110891
252	16011	110560
253	16058	110387
254	16107	110227
255	16153	110042
256	16208	109925
257	16238	109644
258	16292	109514
259	16318	109211
260	16357	108987
261	16407	108840
262	16457	108697
263	16478	108358
264	16516	108133
265	16589	108144
266	16632	107953
267	16683	107817
268	16738	107709
269	16790	107583
270	16829	107373
271	16887	107284
272	16947	107211
273	16990	107026
274	17019	106756
275	17060	106566
276	17121	106497
277	17171	106366
278	17227	106269
279	17290	106210
280	17349	106137
281	17399	106001
282	17455	105904
283	17508	105792
284	17578	105776
285	17633	105676
286	17686	105563
287	17742	105467
288	17771	105213
289	17876	105410
290	18096	106278
291	18405	107660
292	18569	108184
293	18612	108003
294	18727	108236
295	18773	108074
296	18874	108224
297	18941	108183
298	18984	108000
299	19065	108037
300	19116	107904
301	19215	108037
302	19874	111307
303	19985	111499
304	20054	111452
305	20134	111464
306	20204	111420
307	20299	111513
308	20372	111487
309	20463	111558
310	20509	111384
311	20592	111409
312	20665	111382
313	20763	111485
314	20837	111465
315	20912	111444
316	20985	111413
317	21039	111283
318	21111	111247
319	21139	110984
320	21187	110821
321	21245	110713
322	21287	110523
323	21357	110479
324	21411	110350
325	21523	110524
326	21578	110401
327	21643	110328
328	21728	110360
329	21775	110196
330	21862	110239
331	21930	110181
332	23263	116458
333	23451	116975
334	24185	120206
335	24367	120679
336	24452	120664
337	24549	120711
338	24640	120729
339	24711	120648
340	24776	120537
341	24833	120393
342	24914	120360
343	24971	120213
344	25045	120148
345	25089	119936
346	25158	119845
347	25195	119608
348	25255	119475
349	25320	119367
350	25403	119345
351	25473	119260
352	25543	119178
353	25602	119044
354	25659	118900
355	25715	118752
356	25778	118639
357	25847	118551
358	25900	118393
